"E1","E2","E3","E4","E5","Class","E7","E8","E9"
82.558,"U","L",NA,NA,"Class1",22,76.456,71
62.513,"C","N",47.223,3.663,"Class2",36,55.082,60
NA,"P","O",61.232,73.139,"Class1",27,76.895,62
53.494,"C","R",42.375,60.056,"Class2",19,80.437,35
NA,"C","E",NA,38.116,"Class2",14,65.562,72
84.717,"U","Z",61.624,NA,"Class1",44,71.234,64
69.064,"N","N",34.901,61.421,"Class2",15,84.432,27
79.594,"I","Z",61.144,58.33,"Class1",39,NA,63
59.054,"N","M",28.615,75.972,"Class2",38,76.439,50
47.354,"O","M",37.832,49.677,"Class2",17,62.958,46
NA,"P","Y",61.812,54.052,"Class1",31,71.997,64
76.941,"P","Y",61.691,84.505,"Class1",12,77.615,70
64.549,"M","J",41.375,37.166,"Class2",22,66.298,41
76.496,"S","Z",NA,48.493,"Class1",13,79.136,65
84.303,"S","O",61.555,53.029,"Class1",43,77.458,62
42.132,"N","M",47.176,65.001,"Class2",15,62.236,66
66.955,"C","R",37.907,62.662,"Class2",40,64.064,NA
51.987,"M","J",37.612,54.067,"Class2",37,59.34,73
55.272,"E","M",39.903,NA,"Class2",18,66.445,24
82.424,"S","L",61.522,68.344,"Class1",29,71.175,63
57.295,"M","J",41.102,62.911,"Class2",37,83.701,73
76.312,"C","Y",61.474,56.075,"Class1",29,78.64,65
84.148,"C","P",61.395,94.652,"Class1",23,80.583,65
52.74,"O","E",NA,84.404,"Class2",26,NA,64
84.759,"P","L",60.738,81.707,"Class1",45,75.564,71
82.653,"S","L",61.057,56.604,"Class1",50,73.224,67
48.788,"M","R",33.804,7.3,"Class2",15,84.72,20
55.913,"E","M",49.392,70.55,"Class2",38,57.096,28
76.492,"I","O",61.147,76.281,"Class1",23,71.479,62
55.491,"M","M",NA,36.61,"Class2",37,60.999,35
51.922,"O","E",39.262,5.94,"Class2",NA,66.982,30
77.041,"S","Y",61.416,71.801,"Class1",18,77.105,68
84.545,"C","Y",61.409,59.692,"Class1",51,78.261,66
