"Z1","Z2","Z3","Z4","Z5","Z6","Class","Z8","Z9"
50.049,32.849,88.728,"F",69.078,"L","Class3",13,29
70.122,74.989,NA,"G",NA,"T","Class2",69,6
35.929,17.25,NA,"T",56.965,"L","Class3",13,50
45.236,25.271,104.227,"C",43.29,"C","Class1",40,87
11.749,29.809,76.828,"O",88.677,"J","Class3",12,26
48.493,64.13,35.857,"D",46.309,"T","Class4",64,92
46.887,36.138,55.394,"L",66.119,"A","Class1",27,88
47.443,35.214,104.722,"I",75.021,"E","Class1",39,78
68.144,87.13,78.408,"G",NA,"S","Class2",78,5
6.962,32.262,83.288,"F",50.845,"Z","Class3",13,40
42.153,34.267,43.225,"I",35.066,"J","Class4",68,93
50.456,19.758,42.514,"B",52.793,"T","Class4",71,88
34.088,17.662,89.592,"M",47.945,"O","Class3",12,38
51.95,36.099,43.209,"C",59.668,"X","Class4",73,86
55.942,NA,80.751,"G",58.329,"T","Class2",78,12
49.849,34.499,89.491,"E",35.764,"E","Class1",18,81
31.495,17.27,87.28,"M",69.119,"U","Class3",13,37
48.691,31.924,104.093,"C",27.28,"J","Class1",20,91
49.583,31.068,45.999,"O",56.207,"J","Class4",65,89
87.064,87.628,74.067,"F",26.827,"S","Class2",78,9
27.019,53.678,76.439,"C",92.543,"O","Class3",13,43
47.338,32.77,54.749,"I",76.685,"J","Class1",7,86
46.763,NA,36.56,"L",87.061,"C","Class1",19,86
50.302,64.466,45.954,"B",37.613,"T","Class4",72,88
42.455,32.731,81.266,"C",69.593,"O","Class3",13,43
44.431,39.034,66.402,"L",NA,"A","Class1",37,95
45.627,31.773,46.44,"C",45.852,"J","Class1",2,87
42.303,28.115,77.455,"C",69.088,"U","Class3",12,32
33.213,45.11,79.712,"M",91.168,"J","Class3",13,43
45.236,6.539,30.468,"B",69.991,"X","Class4",66,83
72.042,82.682,81.971,"C",37.691,"W","Class2",51,8
53.476,65.184,18.857,"O",74.167,"J","Class4",NA,84
27.75,16.484,79.892,"M",86.319,"L","Class3",13,29
26.025,37.847,78.081,"T",50.125,"Z","Class3",13,NA
47.16,37.323,19.718,"O",55.135,"X","Class4",71,92
42.401,47.653,43.592,"B",53.325,"K","Class4",73,89
46.52,39.498,67.484,"I",54.219,"W","Class1",3,83
37.253,18.912,72.825,"O",59.827,"O","Class3",12,NA
23.458,52.295,72.424,"F",64.373,"O","Class3",13,48
35.607,NA,72.36,"F",82.191,"L","Class3",12,34
57.609,76.724,83.541,"M",27.063,"C","Class2",53,9
33.881,86.836,82.582,"C",66.135,"S","Class2",80,0
52.678,33.777,71.574,"T",57.48,"Z","Class3",13,48
46.496,20.062,34.299,"O",62.202,"T","Class4",68,85
43.399,6.943,49.35,"D",64.077,"J","Class4",70,90
44.772,62.771,27.139,"D",66.611,"K","Class4",68,88
45.642,41.882,73.367,"L",49.832,"A","Class1",42,88
43.464,34.975,73.159,"C",64.011,"Z","Class3",13,45
62.501,26.76,48.098,"D",61.387,"T","Class4",NA,90
29.168,45.27,91.497,"T",63.266,"U","Class3",12,32
46.114,88.32,78.335,"O",31.501,"I","Class2",59,3
39.804,NA,58.951,"I",33.907,"F","Class4",NA,93
38.865,10.111,60.006,"I",72.072,"T","Class4",67,84
48.902,46.881,41.347,"B",55.763,"X","Class4",71,91
72.484,78.53,77.699,"G",25.486,"I","Class2",62,8
46.729,37.455,52.226,"B",61.015,"T","Class4",67,86
58.289,84.356,80.831,"G",29.868,"S","Class2",76,1
44.151,4.466,41.19,"B",91.542,"T","Class4",70,89
49.261,27.219,72.483,"L",75.952,"W","Class1",38,96
NA,28.755,NA,"I",60.655,"C","Class1",8,93
46.614,36.878,69.494,"E",73.698,"A","Class1",30,96
43.558,32.648,46.586,"B",54.99,"F","Class4",71,88
47.297,24.992,63.715,"I",30.984,"E","Class1",35,85
47.49,30.985,37.649,"L",32.581,"J","Class1",47,77
47.255,46.587,43.41,"I",86.144,"W","Class1",30,84
39.46,46.485,43.477,"I",79.202,"X","Class4",72,93
80.183,NA,81.072,"O",47.149,"W","Class2",64,11
47.077,26.04,79.192,"C",17.13,"E","Class1",21,85
48.011,44.462,77.159,"E",64.197,"J","Class1",4,88
50.73,45.722,52.235,"D",59.343,"J","Class4",69,93
40.899,9.346,86.736,"O",63.176,"O","Class3",13,30
43.613,30.537,46.346,"B",69.976,"J","Class4",66,NA
99.148,81.607,79.116,"M",NA,"I","Class2",66,10
50.213,17.013,47.717,"B",33.545,"X","Class4",71,88
71.997,83.148,83.733,"G",38.804,"W","Class2",77,10
43.611,33.747,5.895,"I",47.457,"W","Class1",7,77
30.404,83.183,78.4,"C",61.612,"T","Class2",62,1
14.064,NA,83.019,"O",40.786,"S","Class2",54,7
113.17,89.202,87.256,"G",38.586,"C","Class2",71,5
71.241,72.642,80.633,"F",48.071,"S","Class2",78,8
51.668,18.591,NA,"O",NA,"J","Class4",69,83
51.385,47.747,41.609,"D",50.698,"J","Class4",64,85
33.721,51.587,82.796,"C",71.436,"Z","Class3",13,50
58.044,24.788,42.82,"B",57.7,"J","Class4",73,93
44.32,35.892,28.584,"B",65.542,"F","Class4",69,88
45.466,23.312,48.722,"B",77.844,"J","Class4",70,90
46.854,22.338,NA,"I",92.353,"F","Class4",64,84
46.966,34.204,71.996,"L",35.621,"E","Class1",2,82
48.143,29.036,63.944,"H",81.707,"A","Class1",44,95
45.828,43.498,71.128,"C",77.166,"W","Class1",13,90
45.067,29.89,28.778,"L",71.845,"W","Class1",16,78
23.588,84.741,79.024,"G",27.664,"T","Class2",63,6
31.829,38.202,91.815,"F",80.118,"Z","Class3",13,46
47.223,41.937,62.805,"E",58.111,"E","Class1",46,96
48.011,21.226,88.202,"O",49.95,"U","Class3",13,40
17.001,7.134,70.715,"C",73.483,"Z","Class3",12,35
13.8,81.829,76.351,"O",30.984,"W","Class2",80,1
49.966,NA,36.763,"I",77.962,"F","Class4",67,90
48.07,56.93,52.95,"I",55.103,"K","Class4",70,NA
