"X1","X2","X3","X4","X5","X6","X7","Class","X9"
84.466,25,"M","B",12.455,52.776,74.753,"Class2",33
52.502,3,"A","U",29.317,40.787,66.344,"Class1",49
84.386,39,"M","J",72.134,98.114,46.414,"Class2",14
49.528,2,"A","L",54.849,33.615,63.859,"Class1",97
69.148,14,"J","C",17.054,32.846,65.818,"Class1",68
77.24,19,"R","Q",81.526,66.939,63.998,"Class2",44
83.691,36,"U","S",26.643,46.024,57.469,"Class2",38
66.677,28,"U","M",NA,75.858,72.494,"Class2",11
NA,2,"C","L",52.834,32.595,67.961,"Class1",54
62.405,16,"C","C",25.22,35.891,65.593,"Class1",52
77.443,34,"U","Q",91.916,70.645,79.202,"Class2",23
60.918,2,"J","C",25.687,NA,64.268,"Class1",85
69.116,19,"J","Y",35.599,31.252,67.48,"Class1",54
62.021,5,"C","Y",35.115,35.308,63.665,"Class1",43
64.774,39,"R","B",111.457,70.415,64.403,"Class2",28
51.065,9,"A","Y",31.665,33.279,67.503,"Class1",89
78.038,38,"E","B",58.499,68.908,83.492,"Class2",26
66.392,22,"U","S",-1.075,60.703,71.276,"Class2",44
87.071,24,"R","B",19.615,64.382,54.444,"Class2",40
63.084,5,"E","Y",49.458,33.312,65.927,"Class1",61
67.172,4,"C","R",28.812,33.792,66.67,"Class1",98
53.322,12,"C","L",11.538,38.433,65.954,"Class1",64
54.808,7,"C","U",24.234,37.636,66.262,"Class1",47
90.246,34,"R","S",67.8,69.029,80.908,"Class2",8
68.815,2,"J","Y",74.019,48.559,63.434,"Class1",63
65.92,9,"A","U",49.416,31.535,65.549,"Class1",73
65.462,24,"E","M",54.149,44.949,74.519,"Class2",7
64.894,7,"C","C",43.406,29.86,65.512,"Class1",81
59.428,2,"A","U",61.274,34.958,63.865,"Class1",93
68.18,10,"S","U",31.695,33.567,66.811,"Class1",55
75.228,33,"E","B",70.973,57.195,40.346,"Class2",30
NA,10,"J","U",37.77,29.268,67.07,"Class1",64
73.03,22,"Y","B",45.915,70.69,73.646,"Class2",32
68.075,14,"J","Y",53.333,32.401,67.76,"Class1",65
51.848,5,"J","Y",56.111,33.735,64.924,"Class1",69
95.658,NA,"Y","M",4.387,67.403,48.972,"Class2",10
85.036,36,"E","Q",18.16,51.304,83.078,"Class2",24
74.838,30,"E","S",16.644,64.301,42.018,"Class2",44
69.817,8,"A","R",13.737,28.653,63.068,"Class1",NA
67.544,31,"M","Q",47.497,94.178,48.372,"Class2",55
79.725,34,"M","M",53.227,64.161,71.665,"Class2",24
48.613,7,"C","U",44.151,33.922,63.385,"Class1",72
96.736,35,"E","J",NA,53.634,40.774,"Class2",23
NA,18,"E","U",43.953,30.325,67.42,"Class1",61
58.33,17,"A","R",31.291,37.646,64.726,"Class1",66
51.105,18,"C","Y",55.733,37.456,66.514,"Class1",51
