"D1","Class","D3","D4","D5","D6","D7","D8","D9"
41,"Class2",67.684,"J",83.536,55.61,60,NA,"P"
14,"Class4",27.1,"S",79.502,78.359,25,29.175,"T"
51,"Class3",6.643,"A",NA,76.837,34,67.455,"Q"
52,"Class3",17.204,"V",30.305,86.048,68,85.746,"V"
30,"Class2",68.794,"J",NA,45.335,34,13.878,"M"
14,"Class4",18.736,"Z",61.841,88.38,29,47.826,"R"
61,"Class1",90.075,"M",47.335,48.715,80,27.597,"S"
14,"Class4",28.267,"Y",54.622,92.171,20,32.662,"Y"
44,"Class3",15.023,"M",29.28,81.51,44,88.041,"B"
15,"Class4",30.05,"Z",54.943,92.367,28,NA,"T"
62,"Class1",84.034,"S",56.681,55.269,74,18.661,"C"
15,"Class4",14.413,"Y",52.799,79.479,51,46.635,"C"
59,"Class3",22.518,"C",29.724,76.324,36,70.211,"B"
63,"Class2",70.833,"W",84.217,61.525,72,13.666,"I"
50,"Class1",80.97,"V",26.045,56.4,87,NA,"D"
43,"Class2",32.562,"W",85.219,44.075,68,10.19,"D"
65,"Class3",22.625,"A",29.106,83.22,80,NA,"Q"
64,"Class3",13.539,"M",29.182,85.262,27,89.877,"V"
49,"Class2",11.412,"R",82.86,60.823,39,4.867,"M"
15,"Class4",31.215,"S",28.97,90.767,50,30.931,"C"
55,"Class2",39.308,"W",83.944,59.57,42,14.474,"C"
14,"Class4",NA,"F",37.854,90.539,39,37.992,"Y"
60,"Class1",79.84,"V",40.894,61.195,65,41.544,"S"
14,"Class4",22.048,"S",63.218,89.868,72,48.858,"E"
52,"Class1",79.487,"S",39.627,62.137,77,38.085,"C"
37,"Class2",58.062,"S",85.743,36.121,38,11.149,"C"
NA,"Class1",82.563,"V",47.65,51.414,NA,20.602,"C"
13,"Class3",4.529,"V",29.726,84.926,46,NA,"A"
61,"Class1",80.382,"M",54.564,NA,93,26.105,"D"
52,"Class3",22.372,"M",29.456,81.278,87,80.993,"V"
51,"Class1",80.848,"W",37.874,52.094,70,31.553,"N"
46,"Class1",89.012,"S",42.639,NA,NA,34.4,"D"
44,"Class1",85.099,"M",51.292,NA,95,31.508,"S"
66,"Class2",68.602,"R",93.396,61.387,45,9.762,"D"
20,"Class3",2.553,"C",29.261,85.391,39,79.676,"V"
68,"Class2",10.659,"Y",NA,53.98,41,8.513,"I"
31,"Class2",13.517,"R",81.932,45.541,58,12.793,"C"
19,"Class3",4.624,"A",29.838,74.115,78,78.26,"Q"
14,"Class4",34.499,"P",NA,87.576,39,32.07,"C"
55,"Class2",33.259,"Y",82.621,36.678,46,NA,"C"
34,"Class3",22.884,"C",30.071,73.147,NA,83.588,"P"
51,"Class1",92.274,"M",45.99,NA,89,27.275,"S"
64,"Class3",21.534,"V",29.26,81.052,76,79.537,"A"
62,"Class3",13.145,"C",29.59,82.496,74,64.35,"V"
36,"Class3",6.969,"A",29.614,NA,76,67.898,"A"
14,"Class4",16.483,"Y",64.084,95.309,55,60.831,"R"
15,"Class4",40.57,"F",58.935,78.328,47,41.574,"R"
28,"Class2",30.959,"J",92.809,54.521,37,20.084,"D"
47,"Class2",23.625,"J",78.005,63.606,68,12.467,"C"
14,"Class4",30.884,"P",59.716,78.707,43,41.035,"C"
43,"Class3",12.77,"R",28.961,75.165,NA,79.058,"Q"
56,"Class2",8.035,"J",92.685,46.3,35,10.96,"I"
15,"Class4",NA,"F",72.886,84.011,NA,24.984,"R"
49,"Class2",15.807,"W",83.959,61.955,51,13.732,"C"
14,"Class4",NA,"F",59.55,80.996,47,48.947,"T"
46,"Class1",86.5,"M",35.006,54.669,72,17.8,"C"
15,"Class4",35.618,"S",63.722,82.687,60,51.385,"E"
53,"Class3",13.23,"M",29.887,79.115,66,66.954,"Q"
52,"Class1",NA,"S",30.87,59.735,94,27.842,"Q"
14,"Class4",31.783,"P",44.144,80.182,38,45.952,"Y"
57,"Class1",85.872,"S",50.627,52.16,73,36.755,"Q"
11,"Class3",11.634,"C",29.967,86.382,69,68.45,"P"
66,"Class3",9.012,"M",29.041,82.158,28,NA,"Q"
14,"Class4",38.873,"Y",42.972,NA,32,22.527,"C"
59,"Class1",87.784,"M",NA,60.127,67,38.154,"D"
