"T1","T2","T3","T4","T5","T6","T7","Class","T9"
90.416,11,28.69,"S",48.548,"G",66,"Class1",45.531
58.376,45,61.316,"A",42.561,"T",35,"Class4",27.811
64.43,81,62.108,"A",35.911,"T",38,"Class4",28.081
81.01,52,68.227,"I",NA,"T",37,"Class4",28.992
NA,50,36.79,"H",65.22,"I",47,"Class3",41.635
35.944,36,36.4,"K",10.261,"P",76,"Class5",5.158
NA,58,59.877,"C",NA,"A",36,"Class4",31.552
66.462,60,38.044,"H",44.499,"B",68,"Class1",38.845
66.963,22,40.713,"T",7.455,"W",74,"Class5",1.864
75.771,63,79.881,"F",23.401,"Y",NA,"Class2",24.843
72.551,22,42.094,"D",17.588,"E",75,"Class5",11.882
41.027,49,39.846,"D",11.445,"E",75,"Class5",24.272
NA,60,88.995,"F",24.463,"D",51,"Class2",29.657
83.242,46,82.309,"X",27.783,"D",45,"Class2",40.36
92.285,72,83.009,"C",14.939,"M",35,"Class4",33.931
72.562,44,19.587,"B",44.021,"F",36,"Class3",44.109
71.658,51,86.533,"X",29.865,"V",81,"Class2",11.108
83.723,51,19.869,"W",56.373,"F",40,"Class3",45.21
101.169,83,66.403,"A",41.884,"F",36,"Class4",32.35
46.69,39,73.086,"Z",29.243,"Y",30,"Class2",62.42
42.998,71,78.333,"X",27.426,"V",29,"Class2",61.502
40.458,67,72.301,"X",24.493,"K",67,"Class2",73.786
71.009,50,12.539,"V",71.008,"B",NA,"Class3",42.96
60.074,44,3.64,"B",59.473,"B",28,"Class3",43.492
47.738,46,83.871,"B",25.365,"D",34,"Class2",67.746
83.05,47,17.457,"E",33.217,"D",29,"Class3",48.891
63.984,54,46.555,"A",29.458,"M",35,"Class4",28.337
94.562,61,91.269,"Z",29.571,"Y",25,"Class2",65.777
66.455,41,82.51,"X",25.246,"Y",79,"Class2",31.268
74.622,82,26.092,"S",53.343,"B",67,"Class1",36.05
45.017,63,79.695,"X",27.401,"K",77,"Class2",49.518
71.086,47,8.704,"E",30.903,"B",42,"Class3",42.074
89.414,NA,74.239,"F",28.732,"Y",59,"Class2",11.571
72.492,54,70.191,"D",8.724,"W",70,"Class5",23.506
84.914,19,35.207,"U",51.641,"G",67,"Class1",45.577
85.268,NA,32.483,"Q",46.934,"V",68,"Class1",44.925
66.052,40,71.634,"B",29.777,"Q",59,"Class2",55.625
NA,48,15.019,"W",62.112,"B",47,"Class3",48.045
84.089,41,31.332,"B",44.699,"I",38,"Class3",51.241
