"S1","S2","Class","S4","S5","S6","S7","S8","S9"
"M",54.091,"Class2",69,63.059,80.174,53,63.223,"G"
"H",53.689,"Class3",23,56.215,40.637,67,11.14,"H"
"D",57.544,"Class3",14,50.567,35.151,61,16.421,"G"
"C",59.589,"Class1",10,54.109,26.312,53,44.511,"G"
"K",68.103,"Class3",21,48.964,33.966,58,15.43,"D"
"P",51.292,"Class3",17,49.372,42.14,67,19.751,"H"
"R",87.103,"Class1",28,45.571,NA,44,52.2,"G"
"L",52.303,"Class2",65,56.388,72.455,46,66.187,"G"
"E",42.604,"Class2",67,60.809,82.882,62,75.464,"I"
"D",59.629,"Class3",19,48.831,30.041,72,19.965,"K"
"I",52.302,"Class2",67,55.863,74.335,64,36.037,"K"
"M",56.358,"Class2",66,51.004,73.302,61,92.78,"U"
"Q",41.603,"Class3",15,NA,41.888,68,12.507,"G"
"E",92.862,"Class1",24,52.364,NA,NA,49.435,"N"
"I",50.326,"Class2",65,43.28,75.183,39,85.509,"K"
"E",46.801,"Class1",21,55.778,18.369,40,29.205,"V"
"H",50.483,"Class3",16,47.245,31.844,62,17.844,"G"
"E",46.641,"Class1",21,46.712,18.675,33,74.784,"V"
"E",81.294,"Class1",63,46.731,NA,28,61.396,"N"
"A",71.79,"Class1",57,52.545,15.819,32,26.224,"S"
"A",33.581,"Class1",67,52.038,9.607,39,40.223,"Z"
"K",52.377,"Class3",13,43.882,52.739,66,16.891,"I"
"R",49.174,"Class1",NA,45.031,20.868,48,54.28,"V"
"E",11.586,"Class1",44,58.482,-9.346,34,51.694,"S"
"H",46.261,"Class3",24,56.105,41.42,64,10.081,"K"
"R",93.983,"Class1",NA,44.131,17.267,50,58.553,"S"
"K",51.647,"Class3",16,48.501,37.743,NA,15.952,"K"
"L",NA,"Class2",67,60.727,73.433,46,65.641,"J"
"C",75.294,"Class1",36,57.988,21.561,34,31.15,"V"
"H",47.332,"Class3",22,53.723,37.704,70,16.051,"I"
"P",47.941,"Class3",19,54.571,27.966,59,14.397,"D"
"A",47.979,"Class1",59,43.486,5.38,NA,33.049,"V"
"I",55.056,"Class2",68,51.205,66.71,37,NA,"K"
"A",102.726,"Class1",22,47.049,12.357,31,30.489,"S"
"E",34.749,"Class1",77,51.864,15.43,53,50.343,"Z"
"I",52.068,"Class2",68,46.568,74.95,47,89.375,"U"
"K",50.135,"Class3",12,49.675,37.188,71,13.156,"K"
"E",50.285,"Class2",67,57.106,70.729,34,72.583,"K"
"A",45.339,"Class1",NA,51.695,7.886,52,15.223,"V"
"E",NA,"Class1",9,52.666,15.864,52,64.543,"V"
"A",72.537,"Class1",12,50.496,9.977,44,65.163,"S"
"Q",50.368,"Class3",18,55.852,31.446,66,11.432,"G"
"Q",53.547,"Class3",24,50.427,39.823,60,13.899,"K"
"M",54.675,"Class2",65,58.245,NA,61,78.667,"U"
"E",108.673,"Class1",68,45.738,7.334,31,15.033,"N"
"P",61.274,"Class3",11,53.844,45.084,72,11.206,"G"
"K",49.388,"Class3",18,52.102,36.314,63,17.289,"I"
"A",89.92,"Class1",32,53.133,6.964,45,22.88,"N"
"H",36.627,"Class3",13,52.122,41.047,61,17.953,"I"
"R",29.032,"Class1",48,45.484,6.818,32,66.06,"Z"
"P",57.493,"Class3",23,50.369,43,59,11.161,"G"
"Q",70.581,"Class3",23,55.999,23.392,66,16.988,"K"
"L",51.283,"Class2",69,44.841,66.701,41,37.419,"K"
"C",49.077,"Class1",5,46.516,10.17,35,73.872,"Z"
"L",53.945,"Class2",69,62.116,71.928,36,59.376,"K"
"E",66.028,"Class1",62,55.098,6.406,37,38.535,"Z"
"E",NA,"Class1",76,48.37,19.745,NA,21.796,"Z"
"O",53.407,"Class2",69,58.935,71.386,54,50.709,"K"
"Q",59.772,"Class3",13,48.568,34.435,63,15.208,"I"
"H",38.114,"Class3",13,47.734,40.794,62,10.178,"D"
"P",51.859,"Class3",19,44.796,44.148,61,16.291,"D"
"Q",48.356,"Class3",NA,56.179,NA,59,19.497,"G"
"P",59.969,"Class3",25,50.886,42.842,60,NA,"I"
"O",54.759,"Class2",69,62.791,75.259,65,75.763,"K"
"P",63.392,"Class3",15,47.535,47.698,72,19.472,"D"
"P",67.769,"Class1",25,45.642,16.227,NA,66.772,"V"
"A",0.445,"Class1",16,43.043,7.072,52,52.447,"G"
"I",55.845,"Class2",68,NA,72.023,51,86.311,"U"
"P",53.104,"Class1",65,53.333,7.703,34,70.617,"V"
"E",88.235,"Class1",76,49.261,12.835,39,74.781,"Z"
"H",54.974,"Class3",14,45.529,39.973,62,13.056,"K"
"C",76.98,"Class1",64,47.129,22.446,40,50.904,"Z"
"M",54.611,"Class2",NA,49.568,70.017,55,59.73,"I"
"K",51.656,"Class3",22,44.213,45.471,NA,14.262,"K"
"R",47.031,"Class1",25,48.773,17.158,29,18.9,"G"
"P",45.198,"Class1",61,46.233,17.755,48,25.133,"N"
"L",50.11,"Class2",65,NA,66.885,66,92.186,"K"
"D",52.985,"Class3",20,53.376,33.824,61,16.817,"H"
"E",28.138,"Class1",14,53.982,20.273,42,48.626,"N"
"P",41.762,"Class1",76,48.337,NA,36,19.706,"V"
"D",55.904,"Class3",25,54.066,30.212,63,11.863,"I"
"D",51.757,"Class3",23,47.842,37.161,69,16.217,"G"
"K",60.26,"Class3",20,48.765,48.669,69,13.473,"G"
"O",53.639,"Class2",69,64.096,69.502,68,59.886,"G"
"L",NA,"Class2",66,55.666,72.759,43,69.473,"G"
"P",44.337,"Class3",24,54.664,33.96,58,10.132,"D"
"H",54.238,"Class3",24,44.049,40.295,59,13.509,"D"
"O",56.929,"Class2",68,47.935,80.522,62,46.091,"G"
"Q",58.384,"Class3",21,44.291,41.108,65,NA,"K"
"O",55.464,"Class2",69,50.572,72.23,46,55.474,"K"
"D",62.692,"Class3",25,51.531,38.342,64,12.382,"G"
"Q",43.745,"Class3",16,43.785,48.415,59,10.295,"G"
"C",85.506,"Class1",72,49.839,5.972,52,25.409,"N"
"K",51.633,"Class3",23,46.56,33.821,67,12.855,"I"
"E",93.789,"Class1",24,NA,22.375,NA,20.174,"V"
"Q",55.719,"Class3",11,43.35,19.44,58,10.798,"G"
"P",43.307,"Class1",68,51.265,17.531,46,67.454,"Z"
"M",51.054,"Class2",65,62.857,70.383,46,66.475,"I"
"H",44.537,"Class3",16,48.618,27.88,60,20.463,"H"
"I",52.945,"Class2",68,60.547,78.535,61,58.768,"U"
"P",50.847,"Class3",12,56.078,41.538,68,13.267,"K"
"I",56.391,"Class2",65,55.387,71.1,35,87.179,"J"
"R",5.503,"Class1",66,48.932,17.997,51,NA,"S"
"Q",47.076,"Class3",20,54.766,45.637,70,NA,"D"
"M",54.177,"Class2",65,46.605,74.254,39,40.76,"I"
"H",63.949,"Class3",11,54.755,43.147,67,12.893,"I"
"O",NA,"Class2",65,64.997,74.53,55,51.533,"K"
"K",48.753,"Class3",22,45.311,25.414,65,20.616,"D"
"O",58.594,"Class2",67,45.034,70.235,38,77.442,"J"
"I",52.966,"Class2",65,NA,66.27,60,45.693,"G"
"L",53.718,"Class2",67,48.951,69.115,NA,80.522,"G"
"C",21.254,"Class1",49,55.83,6.373,30,60.27,"V"
"Q",53.885,"Class3",20,45.579,43.544,71,19.92,"G"
"C",73.806,"Class1",15,44.076,14.908,50,20.775,"Z"
"E",58.065,"Class2",69,44.387,68.066,NA,85.177,"J"
"P",47.24,"Class3",23,54.787,33.705,61,14.854,"H"
"M",50.631,"Class2",69,45.966,74.166,50,48.263,"G"
"D",55.581,"Class3",11,49.247,37.09,67,14.362,"H"
"M",NA,"Class2",69,44.577,76.253,64,82.613,"I"
"P",78.147,"Class1",53,45.529,9.354,41,77.37,"N"
"A",42.002,"Class1",38,51.405,1.011,43,14.352,"V"
"R",NA,"Class1",6,47.175,6.665,30,58.791,"Z"
