"P1","P2","Class","P4","P5","P6","P7","P8","P9"
18.494,"X","Class2",48,40.657,53.947,56.99,"Z",46
47.34,"P","Class1",16,75.547,47.46,83.26,"L",20
30.607,"P","Class1",17,65.168,58.797,84.703,"C",52
44.437,"R","Class2",56,54.464,73.967,48.706,"F",NA
42.634,"Y","Class3",68,62.749,NA,41.422,"P",85
63.03,"R","Class2",56,63.721,109.926,69.685,"Z",45
58.478,"N","Class1",16,67.88,28.703,83.506,"D",34
37.346,"B","Class3",68,79.919,92.592,72.981,"W",56
61.105,"T","Class1",16,74.682,66.708,85.831,"L",75
59.816,"Q","Class2",50,46.272,107.778,64.937,"F",71
65.23,"T","Class1",18,69.931,37.418,83.744,"D",62
14.767,"Q","Class2",43,62.329,55.372,38.946,"Z",63
25.96,"Q","Class2",56,53.295,55.309,58.726,"W",64
45.451,"A","Class3",68,71.477,91.552,47.906,"P",52
44.891,"B","Class3",67,38.967,91.84,16.031,"L",55
63.681,"X","Class1",16,65.488,56.528,85.603,"R",17
27.492,"N","Class1",17,68.076,68.277,88.372,"R",37
39.093,"V","Class3",67,62.388,92.395,56.088,"N",76
25.29,"M","Class1",19,80.579,54.786,88.418,"D",37
66.569,"P","Class1",NA,74.241,76.247,83.124,"Y",43
83.295,"X","Class2",59,49.287,80.443,62.824,"W",57
26.305,"P","Class1",20,73.22,56.27,NA,"R",44
26.505,"X","Class1",16,77.912,87.097,86.677,"C",83
28.648,"T","Class1",18,72.977,58.978,87.537,"D",60
NA,"V","Class3",69,50.298,92.644,45.873,"C",60
17.669,"I","Class2",51,45.6,35.886,37.563,"L",60
43.199,"V","Class3",68,52.977,92.144,61.515,"N",66
26.972,"I","Class2",50,54.842,58.943,54.2,"F",77
45.013,"X","Class3",67,77.836,92.092,38.772,"N",70
37.384,"M","Class1",18,66.26,92.243,81.934,"Y",67
40.044,"X","Class2",46,72.652,NA,82.059,"Z",80
27.323,"M","Class1",16,74.104,69.635,88.512,"L",62
46.483,"X","Class3",69,23.232,92.461,49.584,"L",49
42.37,"B","Class3",67,83.567,92.768,14.483,"C",70
83.994,"R","Class2",61,61.829,45.64,70.379,"W",85
38.487,"Y","Class3",67,33.043,92.691,24.863,"W",55
40.52,"Y","Class3",68,22.044,92.558,49.111,"P",49
70.514,"G","Class2",44,51.273,95.207,53.649,"J",70
39.548,"M","Class1",18,73.118,57.279,84.016,"L",35
83.538,"Q","Class2",57,61.748,82.192,25.24,"W",63
36.686,"X","Class3",68,55.212,92.542,37.596,"P",49
47.078,"I","Class2",62,71.585,18.424,49.48,"L",47
40.315,"X","Class3",69,31.128,91.882,35.798,"W",80
36.921,"P","Class1",19,79.486,48.198,84.175,"D",25
46.259,"Y","Class3",NA,21.789,92.214,NA,"W",50
39.203,"X","Class3",69,62.767,92.365,85.478,"P",66
NA,"X","Class2",42,50.656,30.232,95.192,"Z",38
39.02,"V","Class3",67,69.011,92.085,67.976,"W",61
47.509,"X","Class2",42,46.848,38.547,78.624,"W",61
61.2,"X","Class1",17,80.573,76.632,83.899,"Y",65
83.817,"G","Class2",56,50.486,83.191,27.986,"W",85
45.38,"Y","Class3",67,22.372,92.792,5.363,"N",59
46.428,"Y","Class3",69,62.731,92.235,73.798,"N",57
35.703,"X","Class2",57,59.685,NA,106.693,"W",57
44.034,"M","Class1",17,77.523,71.32,NA,"L",88
39.45,"X","Class3",68,78.81,92.786,55.526,"W",70
57.252,"I","Class2",56,55.271,4.049,65.72,"Z",49
44.104,"X","Class3",69,73.42,92.738,33.562,"W",76
44.602,"Y","Class3",67,29.723,92.212,26.132,"C",60
37.954,"X","Class3",69,41.787,92.962,42.972,"W",57
41.223,"A","Class3",67,78.481,93.212,27.308,"N",75
40.047,"A","Class3",NA,33.497,91.989,36.696,"L",50
57.699,"N","Class1",17,72.412,61.865,89.345,"R",22
46.606,"G","Class2",51,36.778,-11.157,56.066,"L",81
85.096,"I","Class2",59,68.558,52.258,74.499,"J",60
37.979,"A","Class3",69,38.172,92.016,43.094,"L",53
26.359,"X","Class1",17,73.995,75.887,87.284,"R",19
59.05,"P","Class1",18,79.862,44.527,87.4,"R",76
39.276,"G","Class2",50,69.303,-7.098,77.026,"F",69
30.026,"Q","Class2",60,50.201,-15.661,51.251,"W",82
43.754,"M","Class1",17,75.474,52.208,88.83,"C",NA
49.901,"T","Class1",16,75.882,72.882,83.866,"L",46
16.618,"P","Class1",20,76.906,57.192,89.217,"C",86
42.969,"Y","Class3",69,38.786,92.504,28.311,"P",66
39.707,"M","Class1",18,65.871,77.504,85.382,"C",56
60.604,"P","Class1",17,70.254,60.869,88.347,"D",80
37.187,"M","Class1",16,71.244,61.834,86.549,"C",71
46.45,"Y","Class3",67,51.629,92.457,60.112,"N",55
62.91,"P","Class1",19,68.75,63.55,88.266,"D",34
49.562,"T","Class1",18,77.301,68.929,86.266,"R",74
66.071,"T","Class1",20,66.78,76.725,88.549,"D",77
16.074,"T","Class1",17,72.244,58.185,85.732,"L",37
45.055,"V","Class3",67,86.421,92.231,30.451,"C",NA
27.091,"M","Class1",20,75.624,73.049,85.335,"Y",NA
79.808,"R","Class2",60,49.853,51.469,45.716,"Z",35
16.382,"M","Class1",20,75.678,33.604,85.187,"R",44
42.817,"A","Class3",69,76.84,92.573,57.157,"C",83
NA,"G","Class2",57,42.387,-36.362,NA,"J",74
19.53,"T","Class1",16,76.059,51.071,86.25,"D",37
64.254,"P","Class1",20,70.529,NA,87.559,"D",53
16.629,"Q","Class2",47,36.516,75.882,72.463,"Z",61
37.061,"Y","Class3",68,62.139,92.507,26.548,"C",81
46.181,"B","Class3",67,55.97,93.287,54.502,"C",81
42.919,"B","Class3",68,22.347,92.597,30.528,"L",65
37,"X","Class3",67,50.007,92.083,35.343,"W",65
51.59,"X","Class1",19,76.623,42.797,85.989,"R",53
38.424,"V","Class3",68,41.443,92.119,52.083,"N",86
45.127,"V","Class3",69,69.327,92.256,23.706,"W",61
66.412,"P","Class1",16,79.283,74.14,87.54,"L",27
42.798,"Y","Class3",69,77.9,92.662,NA,"P",75
NA,"X","Class1",19,80.485,57.164,86.076,"Y",40
46.266,"V","Class3",68,82.732,91.998,68.793,"N",NA
36.785,"V","Class3",67,86.55,92.491,59.495,"C",86
39.258,"V","Class3",68,50.047,92.639,74.838,"L",74
44.288,"N","Class1",17,75.055,45.711,85.075,"L",67
60.677,"M","Class1",17,77.918,66.732,83.35,"D",19
26.243,"I","Class2",55,46.169,-30.6,107.004,"F",37
68.604,"I","Class2",49,34.593,55.596,35.964,"F",56
40.13,"B","Class3",69,25.848,92.396,57.086,"L",76
41.306,"A","Class3",67,71.619,92.03,54.39,"N",82
44.855,"V","Class3",69,48.235,92.855,56.778,"P",62
46.058,"B","Class3",68,52.802,92.737,61.649,"C",82
64.897,"N","Class1",18,65.129,54.512,84.399,"L",48
40.919,"X","Class3",67,88.146,92.461,32.346,"L",87
32.87,"I","Class2",47,43.662,88.819,65.437,"Z",77
40.744,"V","Class3",67,25.121,93.142,33.485,"P",77
57.377,"M","Class1",18,65.979,74.63,88.052,"L",72
45.041,"X","Class3",68,54.996,92.5,74.448,"C",72
26.078,"Q","Class2",41,40.451,72.498,52.489,"W",79
47.544,"T","Class1",20,72.537,52.124,87.177,"C",84
26.582,"X","Class2",57,35.748,67.921,54.611,"Z",42
64.508,"R","Class2",46,70.996,50.034,41.797,"F",50
NA,"Y","Class3",67,36.853,92.538,61.102,"W",79
68.318,"Q","Class2",49,57.005,68.969,51.916,"J",47
38.157,"A","Class3",68,48.235,92.541,55.737,"W",69
37.402,"T","Class1",18,71.409,72.138,84.265,"D",54
39.81,"B","Class3",69,83.881,92.784,39.713,"P",59
