"Q1","Q2","Q3","Q4","Q5","Q6","Class","Q8","Q9"
94.782,56.812,80,48,"M","D","Class1",63.81,55.105
51.853,48.596,41,71,"S","L","Class4",51.141,75.511
69.613,64.297,80,4,"D","I","Class2",68.613,54.552
60.914,12.442,51,35,"D","C","Class5",46.811,92.598
51.282,48.748,67,58,"H","X","Class4",8.906,78.182
51.192,58.076,11,30,"W","X","Class4",38.438,72.61
60.054,43.297,55,26,"M","A","Class5",47.697,NA
86.794,44.473,NA,NA,"I","R","Class2",75.865,49.394
84.757,48.72,78,NA,"T","U","Class1",NA,49.786
82.526,41.252,44,16,"B","J","Class3",54.911,33.102
65.701,10.411,43,NA,"R","R","Class3",NA,38.28
73.567,70.359,41,31,"G","I","Class3",68.497,20.985
60.944,55.396,NA,30,"N","H","Class5",48.886,68.343
87.476,33.96,70,5,"I","A","Class2",33.096,55.079
55.595,53.71,48,82,"G","R","Class3",64.19,25.894
88.162,69.66,65,NA,"D","O","Class2",76.558,62.357
60.676,39.419,54,29,"S","Z","Class5",48.411,104.342
76.022,55.475,12,9,"F","P","Class2",69.063,49.277
60.182,32.844,54,48,"R","J","Class5",46.307,46.075
84.223,48.321,75,54,"Y","D","Class1",55.447,36.72
67.319,52.911,7,NA,"D","P","Class2",25.287,56.608
51.637,46.155,11,15,"W","F","Class4",8.993,84.912
NA,54.796,61,49,"R","Z","Class5",43.238,73.331
60.964,41.143,43,32,"D","C","Class5",43.779,80.609
79.002,48.946,77,41,"M","D","Class1",19.305,35.064
NA,43.653,67,10,"W","T","Class4",64.442,75.638
67.375,39.722,78,42,"F","L","Class1",62.741,49.021
51.209,54.889,14,8,"O","L","Class4",14.482,79.834
60.111,57.418,48,28,"N","A","Class5",44.687,72.244
NA,49.939,50,39,"M","Z","Class5",NA,65.138
84.532,42.743,66,NA,"V","I","Class3",67.635,26.66
60.133,41.378,56,41,"M","J","Class5",48.934,71.465
73.983,61.718,21,6,"I","P","Class2",53.801,55.113
60.271,43.811,53,32,"N","A","Class5",45.236,83.37
89.849,33.293,30,55,"G","I","Class3",50.616,30.282
79.35,71.17,52,8,"D","R","Class2",72.602,42.577
57.735,55.074,60,63,"B","K","Class3",52.551,26.929
85.536,68.11,63,8,"R","P","Class2",26.281,57.044
79.697,33.302,NA,48,"F","U","Class1",37.667,38.781
87.661,44.937,76,44,"M","U","Class1",43.612,45.442
87.278,56.751,82,NA,"T","L","Class1",62.938,61.665
60.72,44.217,66,34,"R","Z","Class5",46.361,55.558
86.65,60.984,40,4,"R","I","Class2",41.627,56.571
71.629,0.949,84,31,"T","X","Class3",84.572,52.5
51.917,52.924,48,35,"V","L","Class4",58.013,95.913
56.689,50.523,55,11,"V","J","Class3",70.969,34.104
70.147,NA,65,11,"I","O","Class2",61.911,60.205
44.275,64.105,45,66,"T","I","Class3",72.316,21.31
91.151,57.289,83,54,"F","D","Class1",57.918,66.525
88.491,64.536,76,54,"T","I","Class3",68.784,23.199
60.442,NA,67,29,"N","A","Class5",47.82,90.213
70.367,68.761,9,5,"R","I","Class2",76.935,58.6
79.938,NA,79,49,"Y","U","Class1",21.378,23.61
NA,34.345,82,44,"F","U","Class1",NA,43.47
51.303,51.659,58,14,"O","X","Class4",75.126,77.79
75.097,63.665,91,7,"I","A","Class2",58.021,65.718
47.103,97.486,73,62,"T","R","Class3",61.545,39.401
69.262,NA,71,8,"D","O","Class2",65.095,55.913
51.575,41.943,9,38,"O","F","Class4",66.257,77.839
81.85,51.376,28,2,"R","I","Class2",59.856,NA
87.648,65.731,36,22,"G","I","Class3",52.835,52.141
84.78,2.316,62,8,"T","I","Class3",57.923,20.704
60.226,60.866,21,25,"R","H","Class5",45.029,83.352
87.728,77.897,41,8,"R","A","Class2",15.144,51.619
60.456,52.342,71,44,"D","C","Class5",46.221,66.313
74.957,32.203,25,10,"O","I","Class2",36.35,57.244
85.216,69.014,7,11,"I","A","Class2",19.424,47.847
84.534,66.962,35,4,"F","A","Class2",32.878,46.948
60.523,NA,44,50,"R","Z","Class5",47.421,86.327
57.735,41.408,39,69,"B","X","Class3",55.111,-2.229
81.918,68.029,26,11,"D","R","Class2",30.364,49.679
51.342,NA,35,17,"H","X","Class4",71.66,80.395
88.937,64.037,79,NA,"Y","U","Class1",44.118,66.01
NA,41.934,88,36,"B","I","Class3",54.811,NA
76.418,71.568,61,64,"V","X","Class3",57.233,19.517
82.012,67.467,85,6,"R","P","Class2",69.801,37.481
67.901,40.677,NA,40,"Q","L","Class1",45.658,43.857
85.783,57.087,91,87,"B","R","Class3",76.565,27.553
52.633,41.742,88,41,"R","K","Class3",65.128,19.842
82.701,62.648,76,7,"R","A","Class2",44.071,63.832
89.339,48.63,82,51,"T","F","Class1",50.104,NA
95.51,29.139,80,43,"Y","D","Class1",31.252,31.968
68.152,74.202,43,2,"R","R","Class2",27.812,48.44
73.096,69.549,77,NA,"M","L","Class1",26.213,46.498
87.785,74.534,89,10,"I","I","Class2",27.808,61.48
88.061,36.409,80,44,"F","L","Class1",24.825,51.582
51.766,54.01,61,14,"V","F","Class4",72.532,NA
51.419,48.076,72,29,"V","L","Class4",50.134,69.892
90.707,54.636,79,41,"Q","U","Class1",43.52,49.449
NA,66.793,39,5,"F","R","Class2",33.592,60.766
72.352,50.518,83,49,"T","D","Class1",NA,32.117
51.108,54.132,26,50,"O","T","Class4",59.313,78.404
87.546,50.79,78,45,"Q","D","Class1",63.272,31.923
83.846,57.812,78,53,"M","D","Class1",59.2,28.554
60.459,NA,74,32,"D","A","Class5",43.11,64.169
74.347,38.827,79,50,"T","L","Class1",30.07,37.119
51.058,39.963,77,62,"H","L","Class4",75.693,NA
60.544,56.221,20,32,"S","H","Class5",48.016,62.25
51.136,59.06,25,15,"O","L","Class4",9.722,79.034
51.543,47.466,62,32,"S","L","Class4",38.173,76.655
79.154,71.502,62,21,"B","J","Class3",64.82,26.069
69.692,57.692,82,41,"M","L","Class1",25.611,41.324
67.812,68.59,79,8,"R","I","Class2",39.387,57.969
43.392,26.81,64,24,"V","I","Class3",65.25,44.441
NA,49.83,44,28,"V","X","Class4",NA,89.62
84.008,45.729,75,43,"F","D","Class1",35.191,44.488
51.991,48.81,68,64,"S","L","Class4",NA,92.543
NA,82.823,73,60,"V","R","Class3",76.638,43.997
69.34,20.235,77,44,"M","Y","Class1",64.862,49.201
51.577,38.565,29,15,"W","E","Class4",46.726,81.544
51.559,50.072,17,46,"O","L","Class4",57.29,78.733
62.818,30.466,32,81,"R","X","Class3",57.93,1.892
86.632,80.316,41,3,"D","I","Class2",57.579,54.154
74.266,72.309,64,9,"F","A","Class2",NA,62.737
75.324,70.131,47,6,"R","R","Class2",32.46,54.008
76.758,80.736,64,8,"D","P","Class2",60.457,63.265
57.207,59.114,58,69,"V","R","Class3",82.771,69.27
74.979,44.774,54,24,"T","I","Class3",79.295,42.747
89.161,42.14,79,42,"T","F","Class1",66.369,60.821
60.988,41.847,34,29,"M","J","Class5",NA,66.881
60.813,31.074,78,48,"R","A","Class5",43.983,NA
60.331,47.914,25,49,"R","C","Class5",48.518,60.956
NA,84.815,82,54,"Y","F","Class1",51.435,58.516
NA,36.304,NA,51,"T","F","Class1",46.557,34.196
51.83,48.161,8,NA,"H","L","Class4",69.412,74.497
70.382,77.987,60,3,"I","O","Class2",11.316,56.979
60.1,NA,22,45,"D","J","Class5",45.442,69.668
74.667,53.965,82,5,"D","A","Class2",13.045,55.491
60.269,33.322,33,46,"D","Z","Class5",47.194,NA
81.354,39.635,88,4,"D","I","Class2",11.881,54.256
70.348,67.445,63,65,"G","I","Class3",83.809,81.232
NA,54.581,67,42,"N","A","Class5",45.464,95.587
60.627,35.238,38,31,"S","C","Class5",47.245,102.259
60.363,37.628,68,27,"M","C","Class5",48.28,77.632
93.813,65.097,81,45,"M","U","Class1",32.843,70.222
77.491,65.307,84,47,"F","L","Class1",66.112,31.936
80.722,34.716,45,7,"F","R","Class2",51.369,54.565
73.942,60.156,36,5,"O","A","Class2",41.396,49.997
49.369,34.667,56,75,"R","I","Class3",57.912,11.594
