"L1","L2","L3","L4","L5","L6","L7","Class","L9"
60.164,54.49,67.146,39,"T","M",62.933,"Class3",44
70.852,50.056,66.448,39,"G","R",58.12,"Class3",71
48.792,87.586,11.434,55,"N","K",36.184,"Class4",30
74.509,87.085,NA,44,"X","E",7.127,"Class4",18
51.674,83.67,64.916,45,"Z","S",73.172,"Class1",78
46.937,NA,13.441,57,"T","O",58.177,"Class4",16
32.239,67.415,46.546,47,"D","Y",70.842,"Class2",50
67.881,88.043,12.956,61,"A","E",54.435,"Class4",15
40.461,88.503,14.374,75,"X","K",33.245,"Class4",29
41.377,53.978,19.248,77,"Z","Y",15.98,"Class2",40
84.833,NA,NA,38,"Q","T",61.277,"Class3",62
34.079,83.027,37.933,19,"V","R",81.195,"Class1",76
33.477,84.553,33.063,NA,"H","R",67.252,"Class1",76
60.138,56.096,65.283,38,"T","T",45.781,"Class3",47
65.46,86.543,31.099,85,"F","R",82.982,"Class1",76
NA,53.083,50.169,66,"S","Y",-17.366,"Class2",42
47.148,60.752,11.842,53,"Z","M",41.046,"Class2",57
51.434,NA,64.829,88,"H","K",30.723,"Class1",79
67.371,54.45,68.496,37,"N","N",50.24,"Class3",NA
44.996,83.541,33.514,34,"V","R",79.709,"Class1",76
56.664,88.234,14.416,75,"B","O",33.681,"Class4",26
34.729,85.735,38.923,33,"H","S",50.682,"Class1",74
59.985,88.256,13.598,48,"T","M",NA,"Class4",18
63.111,57.47,74.912,38,"T","M",72.365,"Class3",45
83.796,52.254,75.219,38,"Q","F",56.158,"Class3",73
37.681,83.269,25.233,50,"H","Y",58.731,"Class1",81
90.736,55.277,77.061,32,"T","N",57.482,"Class3",45
36.076,86.305,41.219,55,"H","O",96.812,"Class1",76
29.617,63.237,21.618,64,"Z","B",75.806,"Class2",50
60.853,85.491,28.245,49,"H","Y",52.795,"Class1",78
79.767,54.492,NA,36,"N","R",57.991,"Class3",67
90.068,58.999,NA,NA,"N","T",56.528,"Class3",72
46.059,NA,11.537,38,"Z","K",78.853,"Class1",79
87.669,52.247,79.442,41,"C","N",66.22,"Class3",51
53.258,87.17,11.795,77,"A","R",26.488,"Class4",17
49.892,84.103,35.311,56,"Z","O",41.775,"Class1",76
56.931,56.14,16.349,54,"H","B",53.132,"Class2",40
86.944,54.756,77.1,38,"G","F",62.73,"Class3",52
42.089,88.678,13.546,68,"N","E",40.96,"Class4",21
39.537,59.506,18.531,94,"D","B",61.443,"Class2",55
31.142,55.369,26.836,93,"P","J",NA,"Class2",55
67.992,83.146,33.564,39,"H","S",83.89,"Class1",78
46.546,59.67,17.478,85,"Z","A",4.431,"Class2",44
28.237,48.052,53.005,NA,"D","Y",31.168,"Class2",47
90.792,51.793,74.936,39,"Q","R",53.643,"Class3",55
