"Class","N2","N3","N4","N5","N6","N7","N8","N9"
"Class2","C",53.745,94.656,"Z",80,109.435,NA,8
"Class3","E",87.05,45.552,"X",90,59.106,73.617,84
"Class3","Q",80.322,31.205,"F",74,31.106,69.225,89
"Class4","W",62.39,40.753,"Y",15,25.211,58.58,63
"Class1","Z",49.259,19.917,"S",61,77.581,64.723,56
"Class1","D",52.602,18.654,"K",83,60.675,62.58,61
"Class4","F",62.689,1.752,"Y",28,10.406,83.276,66
"Class4","W",10.106,23.718,"F",20,28.026,64.401,64
"Class1","M",53.86,12.04,"L",77,47.022,84.287,59
"Class2","P",43.927,97.722,"F",79,85.553,28.104,59
"Class2","L",36.238,96.086,"H",81,82.068,45.079,43
"Class4","F",67.125,34.157,"F",23,28.233,93.771,70
"Class4","M",57.952,24.985,"F",22,20.258,76.021,65
"Class2","X",NA,NA,"H",82,62.336,3.122,62
"Class3","C",88.099,44.48,"Q",72,29.432,63.17,91
"Class1","D",45.944,28.205,"W",NA,65.942,78.313,60
"Class3","C",89.799,29.913,"F",98,12.317,71.949,61
"Class1","D",53.425,14.34,"L",65,107.066,69.064,58
"Class1","D",48.187,NA,"S",85,85.995,76.498,57
"Class3","Q",89.591,15.521,"S",73,16.477,71.921,70
"Class4","Z",12.198,13.423,"B",20,30.065,67.817,61
"Class2","L",52.151,96.936,"H",81,82.036,40.779,50
"Class2","L",53.416,96.292,"L",80,49.366,25.593,NA
"Class2","P",38.709,96.971,"F",82,61.395,26.134,6
"Class4","Z",NA,7.067,"S",49,27.119,73.872,68
"Class1","D",47.809,11.206,"L",85,103.863,72.949,58
"Class4","F",79.546,15.996,"B",35,21.891,64.329,72
"Class1","C",49.205,13.613,"W",68,100.4,88.104,61
"Class2","B",48.814,96.908,"L",79,83.722,41.98,30
"Class2","C",46.23,97.488,"F",79,57.359,16.113,9
"Class3","C",79.873,9.302,"S",68,42.112,72.532,80
"Class3","W",92.216,21.939,"F",88,10.226,71.808,NA
"Class2","P",37.819,97.783,"H",79,53.97,27.237,29
"Class1","U",48.478,28.34,"K",77,69.535,74.073,56
"Class4","Z",16.749,NA,"B",47,17.186,47.645,65
"Class2","B",57.009,96.526,"S",84,8.968,28.426,43
"Class3","A",84.409,23.275,"H",98,33.413,75.361,64
"Class1","Z",52.437,23.927,"L",68,88.722,68.472,61
"Class4","Z",64.079,38.818,"F",26,19.033,66.422,70
"Class2","X",48.133,96.256,"S",79,-3.71,44.353,42
"Class3","Q",NA,NA,"F",75,15.613,73.751,55
"Class3","C",91.066,9.527,"S",59,29.137,73.222,62
"Class3","E",84.708,16.99,"S",64,40.246,71.352,41
"Class4","F",56.582,40.823,"F",24,21.494,85.308,72
"Class2","B",53.497,93.804,"S",78,72.69,14.481,14
"Class2","C",37.831,95.052,"H",81,-9.958,11.547,11
"Class4","W",16.299,30.23,"Q",17,24.866,74.414,63
"Class3","E",79.972,27.967,"F",71,34.017,66.717,68
"Class1","Z",43.386,17.375,"S",69,68.322,72.461,NA
"Class3","A",90.609,NA,"F",66,42.961,63.436,88
"Class4","B",61.607,7.687,"B",46,NA,79.386,61
"Class3","C",86.285,27.413,"H",69,22.134,76.553,82
"Class2","L",49.73,94.401,"Z",80,102.646,50.199,34
"Class3","A",92.956,12.926,"X",93,36.98,76.145,93
"Class3","E",87.416,16.219,"Q",76,27.506,71.832,96
"Class2","L",45.741,96.731,"F",82,46.843,22.827,61
"Class2","B",36.827,96.088,"L",84,49.379,30.001,45
"Class3","W",83.241,23.002,"H",NA,NA,75.3,85
"Class1","C",49.979,27.342,"K",68,74.181,90.851,61
"Class2","X",56.266,97.456,"F",84,31.684,31.233,20
"Class2","L",37.664,97.481,"L",80,55.09,42.319,61
"Class3","E",80.69,42.336,"Q",NA,35.862,70.211,42
"Class1","U",47.707,27.299,"W",NA,71.884,65.933,56
"Class4","W",56.852,34.827,"B",15,13.536,47.498,NA
"Class2","P",48.619,97.275,"F",83,53.957,28.561,15
"Class4","F",78.317,39.795,"F",24,20.837,56.634,58
"Class4","Z",30.363,42.925,"F",14,29.727,67.675,71
"Class2","B",44.269,97.689,"H",83,73.471,NA,15
"Class3","W",83.934,28.431,"S",96,41.269,69.288,90
"Class4","W",23.092,31.024,"Y",39,23.317,81.359,63
"Class1","C",48.998,10.546,"I",64,NA,73.312,57
"Class4","W",57.221,1.255,"B",27,6.799,77.007,58
"Class4","Z",38.756,41.19,"S",45,25.238,NA,69
"Class2","P",47.707,93.167,"H",82,55.219,31.442,5
"Class1","D",53.348,20.066,"K",NA,82.594,81.211,58
"Class1","M",44.461,13.677,"I",75,76.361,65.436,56
"Class1","C",44.586,22.071,"K",62,81.089,NA,54
"Class2","X",57.454,95.708,"L",79,45.277,32.882,42
"Class3","Q",84.734,22.44,"X",84,35.671,72.309,57
"Class1","M",44.562,14.031,"L",66,80.626,NA,57
"Class2","P",48.64,96.167,"Z",83,12.566,17.252,48
"Class3","C",86.238,41.032,"X",99,35.785,65.441,NA
"Class1","U",44.537,10.24,"S",74,79.764,67.332,55
"Class4","W",69.611,1.065,"Q",41,9.9,66.469,61
"Class3","E",82.013,41.734,"X",74,28.176,73.39,63
"Class4","Z",13.635,33.084,"F",49,19.279,75.228,63
"Class2","X",44.753,95.526,"S",81,52.147,30.401,31
"Class4","M",62.321,42.657,"S",21,26.503,75.495,NA
"Class1","D",49.44,16.527,"L",62,NA,77.183,55
"Class3","E",82.155,38.892,"Q",90,33.101,78.408,88
