"U1","U2","U3","U4","U5","U6","Class","U8","U9"
26.007,88,98.493,32.921,"Q",55,"Class1",50.746,"V"
37.547,27,41.846,2.953,"U",56,"Class3",98.717,"Y"
29.054,87,NA,NA,"Q",49,"Class1",78.182,"D"
82.778,53,37.694,NA,"N",60,"Class2",8.861,"S"
41.513,96,98.127,32.623,"V",47,"Class1",96.328,"S"
82.535,58,37.229,24.707,"Q",42,"Class2",NA,"X"
42.675,18,23.911,2.128,"U",56,"Class3",66.503,"D"
47.015,89,98.541,NA,"Q",55,"Class1",92.437,"O"
54.73,36,29.349,3.038,"C",NA,"Class3",98.687,"X"
34.482,29,21.157,3.41,"C",54,"Class3",74.875,"D"
32.97,9,32.424,2.437,"L",59,"Class3",70.578,"T"
21.181,37,39.183,2.167,"F",60,"Class3",49.676,"Y"
83.457,70,36.69,60.44,"N",38,"Class2",13.678,"B"
83.479,NA,38.314,47.812,"Q",50,"Class2",23.307,"B"
39.282,92,98.381,32.013,"V",69,"Class1",67.091,"S"
49.894,99,99.146,33.547,"V",56,"Class1",84.877,"D"
38.292,86,97.989,32.56,"Y",53,"Class1",70.117,"S"
NA,12,6.94,3.264,"Z",53,"Class3",88.94,"D"
46.39,38,18.316,2.06,"Z",57,"Class3",79.131,"D"
52.89,31,42.458,3.548,"Z",63,"Class3",63.938,"H"
44.398,95,98.391,32.096,"X",40,"Class1",49.971,"O"
49.938,29,38.445,3.931,"Z",NA,"Class3",54.241,"D"
59.172,33,23.487,NA,"L",59,"Class3",48.889,"T"
30.393,NA,98.328,32.541,"V",74,"Class1",NA,"S"
85.365,58,36.72,69.426,"V",64,"Class2",NA,"X"
36.845,24,17.184,2.419,"C",59,"Class3",45.079,"Y"
39.491,86,98.337,32.897,"Y",58,"Class1",91.241,"V"
33.108,96,98.597,32.074,"X",44,"Class1",50.52,"D"
83.733,NA,37.675,58.637,"Q",63,"Class2",16.919,"E"
80.51,70,38.971,37.357,"N",35,"Class2",13.844,"X"
60.273,NA,27.91,3.303,"F",52,"Class3",76.873,"T"
83.705,52,37.713,71.693,"L",69,"Class2",10.536,"X"
88.139,56,38.85,50.447,"C",77,"Class2",12.426,"B"
NA,13,56.135,3.893,"L",55,"Class3",NA,"T"
36.003,94,98.288,32.272,"X",55,"Class1",57.312,"D"
86.929,68,38.371,14.764,"V",NA,"Class2",7.928,"B"
33.684,100,97.926,32.161,"O",57,"Class1",66.952,"D"
41.336,99,97.496,NA,"Q",74,"Class1",81.891,"S"
84.704,69,37.542,34.658,"L",53,"Class2",15.293,"E"
63.617,31,17.263,3.728,"U",60,"Class3",64.972,"H"
47.924,92,99.056,33.049,"O",67,"Class1",76.129,"S"
NA,64,37.584,13.641,"C",81,"Class2",18.899,"E"
30.494,26,28.265,3.514,"U",62,"Class3",NA,"T"
91.79,71,38.103,51.81,"V",58,"Class2",15.228,"S"
48.925,22,50.649,2.866,"U",56,"Class3",98.923,"H"
43.657,97,98.179,32.089,"Y",43,"Class1",85.552,"D"
53.018,NA,98.112,33.175,"V",48,"Class1",59.072,"O"
NA,23,55.052,2.969,"F",58,"Class3",74.3,"X"
36.425,92,NA,32.519,"X",56,"Class1",79.692,"S"
NA,NA,98.235,32.569,"V",65,"Class1",61.111,"O"
NA,56,NA,67.806,"Q",76,"Class2",19.454,"S"
80.455,73,NA,17.264,"Q",NA,"Class2",18.592,"E"
50.977,92,NA,33.062,"V",60,"Class1",49.03,"O"
30.009,97,98.389,33.252,"X",54,"Class1",51.829,"O"
NA,NA,37.586,63.119,"V",41,"Class2",21.652,"X"
41.733,90,98.368,33.331,"O",54,"Class1",53.462,"S"
43.9,92,98.386,32.342,"Q",73,"Class1",57.113,"S"
82.037,69,39.574,48.195,"V",31,"Class2",NA,"X"
75.398,9,38.049,3.146,"C",64,"Class3",80.205,"H"
89.968,55,36.86,23.479,"L",44,"Class2",14.241,"S"
45.662,86,99.093,33.319,"Y",66,"Class1",80.11,"O"
90.338,65,38.693,62.624,"V",56,"Class2",22.956,"S"
87.775,68,37.51,55.743,"Q",28,"Class2",11.563,"W"
70.117,22,21.049,NA,"C",59,"Class3",68.879,"T"
82.566,58,37.471,50.595,"V",29,"Class2",14.737,"S"
84.087,73,37.585,19.059,"N",55,"Class2",18.874,"B"
23.429,13,52.76,NA,"U",56,"Class3",85.016,"X"
47.284,97,99.155,33.563,"X",49,"Class1",74.319,"J"
87.256,53,36.908,40.757,"Q",78,"Class2",7.008,"B"
42.605,100,98.546,32.669,"Y",66,"Class1",55.447,"V"
53.627,31,21.984,3.197,"L",54,"Class3",77.116,"D"
46.582,86,98.297,33.813,"X",74,"Class1",59.327,"J"
86.494,69,NA,42.844,"L",84,"Class2",9.033,"E"
84.103,62,37.277,26.112,"V",26,"Class2",15.417,"W"
45.253,92,98.663,32.929,"V",51,"Class1",89.756,"S"
45.98,100,99.032,32.566,"X",57,"Class1",59.378,"V"
50.194,99,99.126,33.896,"X",52,"Class1",65.185,"J"
50.431,98,98.242,32.061,"X",52,"Class1",51.718,"D"
31.804,96,98.743,33.674,"O",NA,"Class1",52.272,"J"
66.67,24,16.652,2.511,"L",63,"Class3",84.227,"D"
62.806,30,51.462,NA,"L",62,"Class3",77.835,"X"
82.189,54,37.827,23.921,"V",48,"Class2",7.358,"S"
78.865,65,38.608,70.375,"Q",57,"Class2",18.988,"S"
38.598,92,98.5,32.588,"Q",73,"Class1",61.177,"O"
85.837,56,NA,40.64,"Q",48,"Class2",18.996,"E"
78.974,NA,37.928,53.875,"C",84,"Class2",10.362,"E"
39.852,100,99.639,33.257,"Y",59,"Class1",85.45,"V"
41.484,90,98.15,33.222,"Y",66,"Class1",58.187,"D"
82.57,76,37.634,22.168,"Q",63,"Class2",19.381,"S"
32.505,29,24.874,3.255,"L",58,"Class3",52.032,"D"
91.009,NA,37.331,62.191,"V",54,"Class2",11.901,"W"
88.921,69,36.725,62.357,"L",29,"Class2",8.22,"W"
45.403,90,98.717,33.038,"V",NA,"Class1",78.99,"J"
59.067,19,45.399,2.01,"C",54,"Class3",67.258,"D"
45.953,93,NA,32.069,"X",40,"Class1",58.769,"S"
38.113,35,20.99,3.823,"F",64,"Class3",NA,"D"
36.97,94,98.248,33.721,"Y",68,"Class1",66.53,"V"
49.232,94,98.196,NA,"V",41,"Class1",63.098,"V"
40.535,92,98.324,33.583,"O",67,"Class1",72.559,"S"
89.193,62,37.563,13.551,"N",NA,"Class2",21.145,"S"
88.47,54,37.961,56.131,"N",82,"Class2",NA,"S"
86.33,53,37.692,42.012,"N",36,"Class2",13.011,"B"
34.914,86,98.031,33.519,"Q",57,"Class1",87.44,"V"
91.93,19,31.249,2.155,"U",53,"Class3",81.695,"T"
60.064,20,50.885,3.698,"L",59,"Class3",NA,"D"
49.24,12,48.304,2.444,"F",63,"Class3",60.365,"D"
29.786,96,98.591,32.002,"O",45,"Class1",72.567,"V"
87.851,NA,38.107,51.891,"Q",47,"Class2",17.706,"B"
54.505,87,98.651,33.233,"X",56,"Class1",55.673,"D"
31.481,87,98.735,32.381,"Q",73,"Class1",66.622,"J"
81.306,75,35.672,NA,"Q",88,"Class2",8.864,"E"
25.651,31,19.692,3.442,"Z",56,"Class3",NA,"T"
93.564,72,38.462,16.724,"Q",65,"Class2",17.183,"W"
37.176,36,45.607,2.886,"L",56,"Class3",59.052,"Y"
54.789,38,26.34,2.299,"C",54,"Class3",97.494,"Y"
40.174,88,NA,32.978,"Q",68,"Class1",83.251,"S"
90.968,69,38.066,33.816,"Q",42,"Class2",22.405,"S"
90.78,58,37.742,17.305,"L",76,"Class2",8.484,"X"
27.513,95,98.689,33.391,"V",57,"Class1",73.645,"S"
81.793,52,36.999,16.845,"C",48,"Class2",17.191,"S"
NA,31,13.08,NA,"L",57,"Class3",88.089,"T"
43.64,18,39.734,NA,"F",62,"Class3",95.729,"D"
92.518,62,38.121,14.711,"L",87,"Class2",12.389,"E"
NA,99,98.735,33.298,"Q",61,"Class1",98.537,"V"
85.709,59,37.641,48.148,"L",68,"Class2",23.644,"B"
85.458,72,37.914,61.556,"C",29,"Class2",15.629,"X"
53.283,22,43.223,2.636,"F",55,"Class3",60.683,"Y"
45.203,97,98.278,33.226,"Y",43,"Class1",78.351,"J"
19.784,25,27.93,3.153,"F",57,"Class3",70.456,"Y"
84.066,61,38.741,45.28,"V",48,"Class2",17.646,"B"
66.948,35,66.09,3.695,"Z",58,"Class3",67.431,"T"
NA,93,98.45,32.676,"Y",71,"Class1",63.404,"D"
39.167,98,98.999,33.995,"Q",47,"Class1",NA,"D"
NA,35,40.738,3.95,"C",63,"Class3",83.234,"Y"
36.018,94,98.746,32.144,"O",46,"Class1",62.515,"J"
37.651,NA,12.292,3.657,"F",62,"Class3",57.468,"Y"
88.619,75,37.485,24.611,"Q",NA,"Class2",NA,"W"
89.634,72,38.944,14.365,"Q",76,"Class2",10.093,"E"
58.238,32,20.168,2.633,"L",53,"Class3",65.854,"H"
71.318,37,18.997,3.375,"L",52,"Class3",NA,"X"
91.02,61,38.686,65.938,"N",31,"Class2",21.915,"B"
23.013,17,75.195,3.39,"F",60,"Class3",61.602,"Y"
86.322,72,37.572,61.341,"C",30,"Class2",17.465,"B"
29.761,14,28.048,2.384,"L",55,"Class3",90.905,"T"
89.497,67,38.474,54.966,"N",82,"Class2",18.709,"S"
NA,NA,38.379,63.514,"N",48,"Class2",14.746,"W"
45.097,99,98.655,33.878,"V",41,"Class1",79.682,"O"
32.081,28,52.622,3.023,"U",58,"Class3",57.593,"T"
58.55,29,33.451,3.392,"U",61,"Class3",97.756,"H"
41.817,93,98.729,32.987,"Q",73,"Class1",60.151,"O"
72.249,18,30.54,NA,"U",62,"Class3",76.397,"X"
85.213,66,37.533,61.992,"C",44,"Class2",15.576,"E"
35.677,9,21.459,2.854,"C",66,"Class3",56.642,"D"
66.221,22,37.991,3.434,"F",NA,"Class3",47.836,"D"
40.636,93,NA,33.161,"Q",62,"Class1",88.725,"V"
27.435,99,98.808,32.051,"X",68,"Class1",73.721,"O"
51.942,93,98.586,NA,"O",45,"Class1",63.203,"J"
61.125,12,13.455,3.342,"L",63,"Class3",88.392,"X"
56.421,89,98.674,33.572,"V",45,"Class1",58.665,"D"
74.52,12,11.622,3.662,"L",52,"Class3",73.329,"Y"
79.808,24,26.721,3.113,"L",61,"Class3",45.997,"H"
81.517,67,38.53,15.257,"V",72,"Class2",13.36,"W"
80.386,6,58.134,3.877,"Z",55,"Class3",62.18,"Y"
85.201,61,38.553,20.308,"N",67,"Class2",12.948,"W"
87.088,58,38.977,21.017,"L",71,"Class2",11.424,"E"
91.951,58,38.314,30.423,"C",36,"Class2",9.977,"E"
31.812,94,98.642,32.404,"Q",64,"Class1",79.145,"V"
39.326,26,43.356,2.801,"U",65,"Class3",53.128,"D"
81.735,68,38.285,45.302,"Q",63,"Class2",7.945,"X"
68.402,11,NA,2.938,"Z",56,"Class3",66.916,"D"
34.309,17,18.034,3.193,"Z",65,"Class3",65.383,"T"
88.44,72,37.788,43.812,"C",27,"Class2",11.872,"S"
87.937,57,37.82,39.519,"Q",73,"Class2",18.957,"S"
50.238,97,98.309,32.547,"Q",61,"Class1",67.11,"D"
40.086,94,98.548,32.396,"Y",73,"Class1",50.673,"D"
80.4,55,38.009,44.253,"N",32,"Class2",8.736,"X"
42.191,88,98.78,33.753,"Y",57,"Class1",48.58,"V"
89.628,69,37.456,32.772,"Q",82,"Class2",20.204,"W"
64.196,9,32.253,2.807,"U",65,"Class3",92.786,"T"
24.925,13,6.901,2.352,"U",52,"Class3",51.347,"T"
47.257,91,98.693,32.786,"X",43,"Class1",54.879,"V"
35.624,86,NA,33.002,"V",46,"Class1",47.691,"O"
85.818,63,38.041,31.758,"C",62,"Class2",9.632,"E"
34.497,NA,49.086,2.16,"F",54,"Class3",77.825,"X"
65.27,35,19.426,3.185,"L",58,"Class3",86.086,"H"
38.565,13,24.606,3.586,"C",56,"Class3",70.833,"H"
34.358,90,98.867,32.236,"Y",71,"Class1",52.059,"V"
56.81,9,57.688,2.784,"C",58,"Class3",49.926,"H"
44.448,93,98.705,33.85,"O",43,"Class1",64.337,"J"
34.887,36,34.901,3.083,"U",63,"Class3",69.981,"H"
46.56,90,98.34,32.229,"Y",49,"Class1",NA,"D"
53.35,NA,98.384,33.299,"X",52,"Class1",72.683,"V"
53.785,93,98.141,33.114,"Q",44,"Class1",94.235,"D"
42.593,93,98.714,32.897,"Y",60,"Class1",63.178,"S"
80.69,59,37.034,12.1,"L",26,"Class2",20.649,"S"
41.747,93,98.823,32.373,"X",70,"Class1",52.7,"D"
60.506,19,62.091,2.489,"L",62,"Class3",76.828,"D"
43.52,92,98.443,32.358,"X",43,"Class1",90.968,"S"
7.755,NA,36.897,2.406,"U",55,"Class3",54.157,"T"
10.357,20,27.239,2.723,"Z",64,"Class3",90.117,"X"
84.661,67,37.168,28.974,"V",62,"Class2",9.06,"X"
94.165,56,38.03,33.66,"C",34,"Class2",NA,"W"
85.173,64,37.55,43.056,"C",34,"Class2",15.556,"S"
43.358,93,98.469,33.68,"X",40,"Class1",94.837,"V"
91.06,62,37.301,42.323,"L",27,"Class2",10.013,"X"
52.706,25,27.016,3.034,"Z",53,"Class3",93.568,"X"
83.01,56,36.734,19.184,"Q",40,"Class2",16.512,"S"
39.274,19,34.636,2.232,"U",54,"Class3",66.592,"T"
81.018,74,37.117,56.021,"C",85,"Class2",NA,"W"
32.938,94,98.262,32.66,"V",65,"Class1",97.263,"O"
80.987,68,38.766,32.589,"C",52,"Class2",15.309,"X"
47.743,94,97.745,32.469,"O",40,"Class1",NA,"S"
92.375,72,38.331,63.307,"C",35,"Class2",10.111,"E"
45.46,97,98.843,32.747,"Q",73,"Class1",74.225,"V"
82.705,75,37.548,57.931,"V",38,"Class2",11.852,"B"
85.467,76,37.151,27.427,"V",68,"Class2",8.84,"X"
80.206,69,38.776,41.629,"N",49,"Class2",16.194,"X"
48.128,95,98.194,33.014,"V",NA,"Class1",54.351,"J"
89.005,68,NA,28.15,"N",47,"Class2",16.023,"X"
89.987,52,38.342,14.179,"L",72,"Class2",22.489,"S"
90.202,70,37.161,25.959,"Q",NA,"Class2",10.509,"B"
30.211,87,98.119,32.713,"Y",75,"Class1",61.334,"O"
15.089,15,21.26,3.241,"F",NA,"Class3",58.101,"D"
NA,37,NA,2.278,"U",NA,"Class3",NA,"X"
28.255,18,23.941,3.131,"Z",62,"Class3",59.838,"Y"
30.647,87,98.433,32.952,"V",73,"Class1",94.573,"S"
45.122,90,98.807,33.27,"V",72,"Class1",73.426,"D"
86.415,74,38.875,44.649,"Q",43,"Class2",NA,"X"
86.319,74,37.364,50.452,"L",53,"Class2",8.045,"S"
39.396,27,9.343,2.403,"C",58,"Class3",47.209,"H"
22.322,9,39.994,3.466,"F",53,"Class3",72.581,"X"
28.958,13,23.922,2.838,"U",52,"Class3",52.691,"X"
65.916,22,31.791,2.127,"U",53,"Class3",82.473,"H"
36.128,93,98.408,32.814,"Y",40,"Class1",56.468,"V"
89.211,71,38.05,25.624,"C",29,"Class2",22.482,"E"
49.138,88,NA,32.641,"V",70,"Class1",68.319,"V"
45.105,91,98.924,32.466,"O",64,"Class1",50.803,"S"
83.337,73,38.501,61.235,"L",79,"Class2",9.292,"E"
37.848,92,98.874,33.857,"Q",50,"Class1",79.481,"S"
54.838,31,53.723,2.395,"L",56,"Class3",54.792,"H"
29.787,16,32.094,2.399,"F",NA,"Class3",NA,"H"
85.815,60,37.491,27.578,"V",47,"Class2",12.392,"B"
NA,15,56.09,3.669,"L",65,"Class3",NA,"Y"
40.662,14,45.104,3.005,"F",54,"Class3",47.667,"D"
84.87,52,39.756,41.362,"C",70,"Class2",NA,"S"
44.831,94,97.935,33.709,"O",70,"Class1",54.916,"D"
30.88,34,40.303,3.648,"L",53,"Class3",56.409,"T"
14.672,8,16.584,3.412,"F",55,"Class3",85.884,"D"
78.474,56,37.705,56.478,"V",30,"Class2",13.051,"S"
86.736,NA,37.352,18.991,"L",73,"Class2",8.164,"B"
89.514,52,38.108,21.988,"Q",30,"Class2",16.43,"E"
46.109,92,98.397,32.051,"Y",71,"Class1",56.744,"S"
36.122,93,NA,33.613,"O",NA,"Class1",95.883,"S"
38.655,99,98.242,33.834,"O",42,"Class1",62.136,"O"
39.839,91,98.613,32.252,"Y",41,"Class1",80.772,"V"
88.415,74,37.789,52.312,"N",37,"Class2",10.642,"X"
63.878,27,21.445,2.728,"F",65,"Class3",49.936,"T"
60.79,14,41.3,2.03,"C",54,"Class3",71.745,"H"
84.943,75,37.166,33.12,"C",83,"Class2",18.163,"E"
5.743,33,23.588,2.886,"L",63,"Class3",82.839,"Y"
88.008,74,37.149,46.037,"V",60,"Class2",7.554,"B"
NA,35,49.456,2.308,"U",62,"Class3",97.83,"H"
30.929,16,19.28,2.131,"L",64,"Class3",68.726,"D"
39.021,37,NA,3.825,"Z",62,"Class3",55.816,"T"
72.541,38,26.128,3.18,"U",66,"Class3",94.537,"D"
91.215,53,38.12,68.535,"V",45,"Class2",10.669,"W"
46.51,90,98.992,33.723,"Y",71,"Class1",74.075,"O"
32.685,19,23.226,3.901,"U",65,"Class3",55.528,"X"
63.605,15,31.161,3.784,"C",58,"Class3",57.942,"X"
45.612,88,98.647,33.813,"Y",NA,"Class1",47.438,"O"
52.066,27,30.498,NA,"F",57,"Class3",61.22,"T"
57.522,25,33.108,3.649,"F",63,"Class3",89.181,"H"
49.654,91,99.528,32.934,"X",72,"Class1",75.351,"J"
47.184,90,98.937,32.187,"O",40,"Class1",NA,"V"
41.326,100,98.744,33.86,"V",71,"Class1",95.395,"V"
45.369,94,98.008,32.375,"Y",72,"Class1",53.357,"O"
48.218,38,31.469,3.862,"C",57,"Class3",48.743,"T"
86.365,NA,37.877,21.003,"N",84,"Class2",21.358,"W"
86.449,70,38.509,NA,"C",55,"Class2",21.514,"X"
47.971,94,98.819,33.042,"V",57,"Class1",85.22,"J"
