"U1","U2","U3","U4","Class","U6","U7","U8","U9"
"T",96.021,53.354,22,"Class1","B",NA,69,48.885
"B",70.885,37.513,18,"Class3","Q",2.322,44,18.028
"F",38.495,98.41,27,"Class2","R",31.804,85,57.395
"C",92.2,53.899,33,"Class1","L",71.715,65,32.046
"F",31.928,63.454,41,"Class3","W",NA,16,82.227
"N",37.076,55.579,32,"Class2","B",28.471,72,NA
"T",85.458,59.587,64,"Class1","R",47.367,73,35.759
"J",29.387,71.419,21,"Class3","I",2.029,37,52.756
"E",37.988,91.084,36,"Class2","U",16.019,40,43.204
"J",40.471,73.413,15,"Class2","U",21.469,65,27.939
"B",32.129,50.932,62,"Class3","U",2.351,29,36.156
"X",85.45,56.348,34,"Class1","L",73.65,76,NA
"D",91.243,54.145,40,"Class1","L",66.028,74,-21.133
"W",48.756,55.044,37,"Class3","U",2.652,25,68.357
"E",48.471,NA,83,"Class3","U",2.88,17,69.539
"F",75.948,10.168,83,"Class3","I",2.331,33,7.923
"F",41.187,69.488,18,"Class2","Z",13.621,71,63.352
"J",38.076,96.54,39,"Class2","O",30.876,67,49.511
"D",87.214,54.119,61,"Class1","R",63.818,78,73.324
"J",64.925,29.391,40,"Class3","W",2.441,19,22.653
"B",73.881,11.006,74,"Class3","T",2.733,44,54.877
"C",91.656,51.645,68,"Class1","L",44.08,67,52.386
"C",89.072,52.111,56,"Class1","N",70.569,75,62.463
"D",89.956,57.705,30,"Class1","R",59.128,66,76.213
"W",33.987,53.236,20,"Class3","W",2.56,35,16.619
"J",35.794,21.002,80,"Class3","I",2.145,57,60.514
"W",81.137,69.458,34,"Class3","U",1.853,31,20.996
"X",84.406,54.35,25,"Class1","B",56.852,61,45.931
"E",58.055,39.278,71,"Class3","W",2.7,64,58.606
"E",40.645,56.131,30,"Class2","U",NA,38,NA
"E",39.737,88.505,24,"Class2","B",38.307,65,62.455
"W",22.618,68.805,27,"Class3","U",1.865,18,25.408
"O",40.785,96.786,17,"Class2","U",28.161,70,37.407
"E",26.06,38.206,53,"Class3","I",2.521,57,NA
"T",92.099,58.728,63,"Class1","L",67.946,71,46.983
"O",41.703,84.74,NA,"Class2","R",22.325,86,67.304
"D",84.377,52.881,28,"Class1","H",57.125,71,83.313
"W",96.302,57.654,70,"Class1","H",91.563,74,66.116
"J",38.194,NA,31,"Class2","B",42.958,62,69.564
"E",44.804,43.535,46,"Class3","I",2.206,56,22.251
"N",40.332,55.231,22,"Class2","B",55.209,58,33.206
"E",83.893,31.448,31,"Class3","W",2.384,38,47.87
"C",86.049,53.455,67,"Class1","H",70.61,68,-3.787
"E",47.46,48.53,18,"Class3","I",3.271,55,NA
"W",91.976,NA,26,"Class1","N",86.428,85,11.885
"F",NA,30.121,32,"Class3","U",2.837,24,65.799
"N",38.699,70.837,15,"Class2","R",43.896,70,67.786
"D",90.908,54.228,48,"Class1","H",74.251,60,8.152
"W",23.62,40.335,65,"Class3","Q",2.689,63,52.784
"W",54.037,69.319,72,"Class3","Q",2.579,32,38.002
"X",95.439,51.77,55,"Class1","B",67.858,83,35.104
"W",91.439,54.403,23,"Class1","L",43.947,71,53.438
"E",56.415,57.907,40,"Class3","Q",2.984,57,46.611
"E",37.3,41.372,21,"Class3","T",2.539,29,67.927
"J",41.291,83.711,36,"Class2","Z",32.357,50,56.051
"J",NA,73.477,18,"Class2","R",29.558,72,87.561
"W",87.896,57.677,34,"Class1","H",67.196,63,50.715
"X",85.009,57.362,38,"Class1","L",50.671,78,29.874
"O",39.812,62.331,21,"Class2","O",34.078,75,54.085
"C",85.685,52.301,31,"Class1","H",54.909,76,43.398
"E",73.713,57.064,NA,"Class3","U",NA,65,35.164
"J",29.153,67.086,46,"Class3","Q",2.459,22,8.143
"E",43.607,15.931,48,"Class3","W",2.425,29,53.507
"C",88.518,53.576,38,"Class1","B",61.345,63,49.15
"J",38.334,83.781,41,"Class2","Z",51.31,39,39.374
"F",24.406,54.353,83,"Class3","I",2.09,64,50.075
"X",84.085,54.906,29,"Class1","R",75.269,76,32.052
"C",84.395,52.237,28,"Class1","L",NA,71,53.936
"W",93.368,57.556,43,"Class1","N",NA,61,56.637
"C",97.874,52.28,31,"Class1","N",64.867,79,53.94
"E",79.903,59.858,68,"Class3","Q",2.319,34,35.636
"J",40.449,72.839,40,"Class2","R",46.549,71,50.963
"B",23.377,29.052,81,"Class3","W",2.684,26,-23.567
"E",41.337,94.685,21,"Class2","O",29.159,83,65.821
"E",37.897,78.291,35,"Class2","B",33.533,82,62.823
"J",19.607,62.171,31,"Class3","I",2.697,54,50.678
"F",62.18,41.662,39,"Class3","Q",2.939,42,38.894
"C",85.696,53.757,67,"Class1","R",44.306,59,69.889
"B",31.461,26.747,83,"Class3","I",2.539,40,86.523
"W",NA,16.586,65,"Class3","Q",2.406,25,59.608
"F",38.036,65.963,31,"Class2","O",21.246,75,61.753
"E",84.708,NA,18,"Class3","W",2.515,46,60.542
"F",49.78,63.795,38,"Class3","W",NA,50,31.08
"J",24.52,23.729,25,"Class3","U",2.275,23,NA
"T",83.893,56.329,56,"Class1","H",61.423,61,28.819
"F",38.364,NA,14,"Class2","U",37.593,37,36.556
"N",40.513,56.928,24,"Class2","R",26.259,53,37.101
"D",86.076,57.295,31,"Class1","R",43.27,63,28.561
"F",32.796,72.681,47,"Class3","I",2.757,14,NA
"E",39.778,82.139,23,"Class2","B",36.852,65,43.065
"E",44.6,45.402,19,"Class3","U",2.224,66,46.949
"F",NA,67.071,27,"Class2","R",28.767,69,95.81
"E",45.66,52.347,38,"Class3","I",2.161,19,71.873
"N",39.442,55.862,33,"Class2","U",29.981,86,46.837
"D",NA,51.282,54,"Class1","N",78.231,77,40.714
"J",37.634,96.506,39,"Class2","O",27.338,77,67.569
"J",75.368,71.957,25,"Class3","U",2.428,41,38.022
"X",93.89,57.523,63,"Class1","H",73.473,74,67.344
"D",97.873,58.735,59,"Class1","R",68.913,74,22.432
"C",87.406,55.331,40,"Class1","N",53.457,85,15.194
"J",53.463,38.444,89,"Class3","I",2.468,NA,84.491
"J",37.638,NA,20,"Class2","O",22.931,61,56.084
"C",86.41,NA,62,"Class1","B",57.855,59,NA
"J",40.991,75.379,35,"Class2","Z",18.771,45,60.059
"F",24.47,20.995,54,"Class3","W",2.874,14,47.959
"X",96.176,51.186,38,"Class1","L",56.201,79,67.889
"J",79.355,15.086,86,"Class3","U",2.733,48,41.87
"X",89.703,58.306,61,"Class1","R",62.979,61,66.926
"X",96.532,57.576,70,"Class1","N",51.303,72,67.388
"X",97.473,55.828,32,"Class1","B",NA,73,5.59
"W",81.98,NA,81,"Class3","I",2.259,66,56.467
"F",38.811,71.447,18,"Class2","R",53.291,70,64.293
"X",88.406,53.298,59,"Class1","N",53.68,68,72.18
"N",41.914,69.302,28,"Class2","R",54.144,55,56.401
"X",96.668,57.002,39,"Class1","L",NA,85,52.775
"W",85.417,52.054,49,"Class1","L",53.123,77,28.886
"W",94.852,57.697,49,"Class1","H",60.819,75,66.988
"B",72.527,28.277,77,"Class3","I",2.194,51,5.628
"C",97.208,56.564,24,"Class1","R",77.838,78,76.994
"N",37.683,64.043,36,"Class2","U",31.555,83,57.32
"O",40.204,84.105,26,"Class2","Z",NA,55,58.364
