"S1","S2","S3","S4","S5","Class","S7","S8","S9"
"U",63,84.751,70,55.565,"Class2",115.694,"M",75.966
"I",88,31.115,62,82.306,"Class5",49.814,"J",50.163
"S",94,83.133,59,50.164,"Class2",78.079,"M",80.403
"Q",6,17.892,86,NA,"Class4",31.906,"W",66.478
"V",6,16.806,78,30.199,"Class4",51.008,"P",57.592
"T",87,90.699,70,85.698,"Class5",28.416,"U",60.638
"X",5,70.059,NA,78.491,"Class3",59.84,"L",41.629
"J",4,10.955,82,53.07,"Class4",34.773,"U",81.283
"R",88,58.794,18,42.062,"Class1",16.054,"L",93.194
"S",96,NA,NA,54.288,"Class2",87.028,"H",72.061
"L",4,61.753,29,74.944,"Class3",57.167,"G",43.364
"L",5,63.197,27,23.914,"Class3",60.298,"Y",NA
"K",4,32.094,30,74.577,"Class3",60.002,"A",44.093
"J",5,23.211,86,81.992,"Class4",45.098,"U",86.116
"K",5,72.112,28,47.221,"Class3",58.226,"P",45.297
"V",88,27.996,19,35.274,"Class1",8.658,"C",51.352
"T",91,53.178,67,82.366,"Class5",9.648,"J",23.271
"Q",7,15.036,88,58.803,"Class4",NA,"P",89.137
"K",86,84.496,23,50.485,"Class1",7.845,"C",67.295
"K",89,66.252,66,37.09,"Class1",NA,"L",43.859
"V",NA,56.699,68,55.958,"Class1",11.347,"L",38.133
"L",5,NA,27,41.007,"Class3",70.276,"A",46.594
"J",2,19.223,81,60.603,"Class4",62.034,"W",73.231
"W",89,64.795,64,83.382,"Class5",NA,"P",30.487
"V",87,34.897,36,35.328,"Class1",NA,"S",63.104
"R",88,70.393,66,34.838,"Class1",24.93,"Y",76.178
"Q",NA,31.696,83,62.857,"Class4",27.823,"U",58.132
"F",90,39.867,65,85.786,"Class5",8.679,"J",21.242
"X",4,77.207,26,66.208,"Class3",55.661,"Y",41.911
"X",NA,77.655,30,53.735,"Class3",67.818,"P",51.065
"J",2,20.186,84,40.829,"Class4",46.484,"P",51.721
"R",88,29.926,45,51.427,"Class1",13.796,"Y",76.656
"K",88,31.291,39,36.561,"Class1",17.999,"C",87.419
"V",88,NA,29,NA,"Class1",23.666,"S",47.582
"Q",5,24.387,78,84.781,"Class4",32.138,"W",52.606
"S",56,84.245,70,54.156,"Class2",NA,"W",77.893
"V",6,21.561,77,67.743,"Class4",41.176,"U",81.917
"O",2,0.54,NA,86.851,"Class4",52.895,"W",85.316
