"M1","M2","M3","Class","M5","M6","M7","M8","M9"
70.046,"U",72,"Class3",49.212,28,39.54,"E",36.219
15.214,"V",62,"Class1",27.95,NA,7.081,"H",46.783
NA,"A",67,"Class1",19.004,24,2.864,"Q",32.404
17.115,"O",61,"Class1",10.084,62,13.137,"H",37.264
22.024,"A",24,"Class2",59.808,89,24.932,"D",77.468
64.48,"J",25,"Class2",58.011,93,11.07,"Q",63.153
18.892,"A",61,"Class1",17.639,40,2.019,"N",46.361
16.298,"L",58,"Class1",26.56,83,-0.775,"C",40.221
NA,"G",24,"Class2",NA,47,26.125,"Q",68.933
18.954,"O",56,"Class1",15.679,NA,11.999,"N",53.372
14.997,"G",24,"Class2",61.954,55,25.909,"N",78.848
93.302,"L",45,"Class3",43.338,24,31.091,"P",45.437
17.385,"V",63,"Class1",8.416,40,9.041,"N",20.152
70.766,"S",3,"Class3",48.517,25,85.645,"L",31.567
44.654,"R",52,"Class3",47.82,20,-12.872,"L",58.544
80.287,"L",71,"Class3",59.846,19,2.795,"L",51.932
14.198,"L",25,"Class2",65.117,65,23.026,"Q",69.992
63.762,"U",36,"Class3",44.57,29,77.865,"L",12.27
34.322,"G",25,"Class2",58.239,59,16.513,"Q",65.692
92.563,"U",81,"Class3",53.882,27,46.174,"N",28.775
65.535,"X",41,"Class3",47.469,23,72.018,"E",25.982
19.551,"J",24,"Class2",58.9,48,24.67,"V",88.632
35.402,"L",24,"Class2",60.52,60,NA,"V",68.179
62.84,"S",11,"Class3",46.457,26,NA,"P",94.862
83.077,"L",54,"Class3",55.9,18,87.512,"N",67.84
69.056,"L",11,"Class3",56.934,23,38.077,"J",75.7
18.975,"G",25,"Class2",59.97,90,23.648,"C",57.579
37.971,"L",25,"Class2",62.935,64,27.217,"C",83.144
18.528,"O",60,"Class1",18.624,54,2.546,"C",35.897
18.912,"A",57,"Class1",10.871,51,0.417,"H",48.805
15.998,"M",63,"Class1",5.072,46,4.71,"C",45.246
14.607,"M",58,"Class1",31.611,27,-0.326,"N",41.501
16.635,"A",59,"Class1",34.785,39,NA,"Q",90.238
15.187,"A",57,"Class1",1.793,86,5.307,"N",56.665
85.919,"L",7,"Class3",45.084,25,9.912,"N",-10.556
82.696,"L",83,"Class3",54.854,22,41.294,"J",72.968
57.685,"J",25,"Class2",59.383,47,17.024,"N",51.93
53.484,"A",24,"Class2",57.206,44,16.259,"D",60.795
18.757,"A",57,"Class1",NA,29,1.974,"C",63.885
36.962,"A",25,"Class2",61.699,57,18.939,"D",108.699
76.882,"X",47,"Class3",58.605,28,106.734,"N",60.931
