"Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Class"
66.755,"E",22,NA,66.152,50.328,"V",79.696,"Class2"
80.933,"Y",16,68,44.838,47.087,"Q",69.105,"Class3"
44.982,"E",20,83,61.83,82.44,"V",59.53,"Class4"
47.929,"D",NA,35,88.896,71.048,"B",38.94,"Class4"
80.245,"K",41,83,75.212,64.417,"E",49.32,"Class1"
43.9,"K",11,37,59.794,72.697,"J",35.75,"Class4"
79.048,"K",48,49,91.04,62.577,"Y",64.849,"Class1"
82.88,"Y",5,72,54.812,46.678,"B",70.145,"Class3"
41.884,"D",23,31,69.42,69.892,"V",73.453,"Class4"
35.885,"S",22,27,50.026,82.354,"B",24.505,"Class4"
80.827,"Y",24,90,65.888,48.677,"W",77.347,"Class3"
76.631,"K",30,69,70.921,84.629,"O",58.019,"Class1"
77.99,"G",38,NA,90.382,88.056,"O",61.776,"Class1"
70.577,"K",33,76,56.103,73.935,"W",45.693,"Class1"
21.756,"E",20,79,66.479,41.107,"V",12.701,"Class2"
38.23,"S",6,23,58.674,67.242,"J",14.595,"Class4"
80.248,"B",5,90,37.042,55.824,"Q",79.348,"Class3"
70.495,"K",20,51,73.754,80.831,"V",49.935,"Class1"
81.754,"X",5,14,61.983,48.331,"Q",77.827,"Class3"
75.795,"K",23,68,50.002,NA,"V",65.589,"Class1"
77.786,"O",39,69,79.95,66.638,"F",17.287,"Class2"
81.392,"B",16,84,61.908,47.002,"Q",75.828,"Class3"
80.207,"X",24,72,52.669,49.509,"J",75.227,"Class3"
69.222,"X",23,85,64.084,91.287,"W",58.935,"Class1"
80.684,"M",14,NA,61.432,68.401,"Q",77.583,"Class3"
81.112,"V",10,66,87.7,53.559,"F",14.395,"Class2"
82.69,"H",4,67,66.956,37.113,"W",71.896,"Class3"
80.035,"X",NA,26,59.944,25.702,"J",72.31,"Class3"
21.349,"S",76,74,51.792,50.622,"M",13.881,"Class2"
51.064,"E",24,61,30.857,NA,"M",58.573,"Class2"
NA,"O",NA,NA,58.508,62.754,"V",83.31,"Class2"
34.993,"S",19,30,48.323,54.173,"H",68.425,"Class4"
73.153,"V",43,52,56.157,53.426,"O",75.915,"Class1"
44.772,"K",18,71,60.426,53.105,"H",73.441,"Class4"
NA,"E",14,35,61.679,86.076,"J",69.631,"Class4"
53.629,"E",79,58,60.75,51.963,"Z",11.19,"Class2"
80.532,"H",21,NA,52.795,50.015,"H",72.85,"Class3"
80.206,"V",24,40,96.081,72.009,"Y",73.76,"Class1"
76.229,"S",17,NA,61.736,76.645,"E",53.09,"Class1"
25.552,"S",62,73,46.361,63.02,"M",27.124,"Class2"
79.719,"X",NA,16,59.657,53.015,"B",75.107,"Class3"
36.171,"Y",21,50,48.001,48.866,"J",36.502,"Class4"
33.834,"F",76,70,74.515,48.703,"F",2.436,"Class2"
