"H1","H2","H3","H4","H5","H6","Class","H8","H9"
76,7.054,"N",37.511,NA,"H","Class3",56,NA
77,31.617,"A",53.009,26.363,"T","Class3",50,71.853
35,NA,"W",54.371,24.819,"N","Class1",25,33.158
20,24.011,"C",51.165,26.451,"Z","Class1",75,74.166
NA,19.471,"E",57.844,43.409,"N","Class1",40,63.78
41,70.508,"Y",82.493,33.356,"S","Class2",38,33.907
50,NA,"W",47.224,45.337,"W","Class1",83,54.543
31,68.556,"T",90.068,34.537,"H","Class2",49,33.901
19,15.181,"E",51.854,44.32,"S","Class1",77,79.343
43,17.305,"N",29.853,53.263,"S","Class1",66,63.796
76,4.585,"O",40.424,24.507,"H","Class3",71,NA
49,76.726,"Z",90.934,32.491,"H","Class2",32,29.412
33,76.763,"Z",84.816,33.45,"F","Class2",39,36.397
5,20.95,"E",53.729,46.138,"Z","Class1",49,78.997
53,84.096,"E",81.881,33.095,"U","Class2",48,35.3
24,25.196,"E",64.544,36.806,"N","Class1",92,64.395
19,17.629,"W",54.553,46.564,"T","Class1",63,65.54
NA,9.111,"N",20.599,22.703,"C","Class3",77,71.927
NA,87.057,"T",90.371,32.205,"U","Class2",34,32.644
34,70.15,"N",93.922,32.703,"F","Class2",49,44.295
24,23.129,"C",70.56,32.875,"S","Class1",91,69.524
39,87.094,"Z",96.854,32.789,"U","Class2",34,34.958
46,24.069,"W",37.672,NA,"T","Class1",35,51.01
73,54.858,"T",32.931,32.913,"H","Class3",53,66.923
21,15.62,"N",64.809,27.83,"T","Class1",78,76.055
36,NA,"Z",91.748,31.813,"S","Class2",51,50.127
38,69.239,"E",92.356,30.537,"F","Class2",42,36.831
71,NA,"N",46.246,23.775,"L","Class3",53,64.194
69,45.723,"A",16.617,31.975,"L","Class3",NA,74.945
35,72.317,"Z",94.477,35.302,"U","Class2",40,NA
70,46.711,"O",14.033,27.298,"T","Class3",55,68.308
5,19.3,"A",58.754,43.901,"S","Class1",54,90.178
74,NA,"T",30.307,29.01,"H","Class3",66,67.588
30,25.256,"W",43.989,37.56,"W","Class1",53,48.55
42,76.686,"N",90.838,33.741,"H","Class2",51,32.445
52,78.49,"T",87.687,34.094,"F","Class2",35,29.998
17,22.054,"E",47.526,45.183,"S","Class1",68,70.397
25,14.951,"W",75.557,54.806,"S","Class1",34,71.477
67,33.655,"G",39.441,37.21,"H","Class3",72,68.542
33,72.55,"N",92.122,34.286,"S","Class2",35,34.166
67,27.626,"G",27.078,28.003,"T","Class3",59,68.897
46,70.221,"N",88.081,32.473,"C","Class2",49,39.086
10,16.435,"N",58.605,44.751,"S","Class1",57,40.198
NA,34.367,"G",6.395,16.663,"H","Class3",71,NA
NA,8.952,"T",48.356,25.045,"L","Class3",79,73.572
52,71.798,"Z",91.148,35.532,"C","Class2",50,43.209
25,24.967,"W",45.938,37.038,"N","Class1",55,61.334
49,NA,"E",90.293,NA,"F","Class2",46,44.726
42,78.32,"Y",91.328,32.394,"U","Class2",38,41.325
18,19.694,"N",NA,48.588,"S","Class1",26,45.287
49,67.37,"T",94.403,33.514,"C","Class2",42,35.963
4,23.757,"W",53.491,38.747,"T","Class1",75,67.436
42,84.277,"Y",NA,33.722,"S","Class2",46,38.337
48,66.331,"T",81.459,33.155,"U","Class2",48,38.306
33,82.119,"E",81.658,NA,"F","Class2",38,31.437
35,86.785,"Y",87.004,33.027,"S","Class2",40,32.414
10,16.005,"C",26.132,34.641,"W","Class1",45,67.681
3,17.667,"A",58.707,24.793,"W","Class1",51,71.398
75,11.336,"T",NA,21.49,"H","Class3",61,70.172
54,24.055,"C",32.693,20.602,"S","Class1",33,36.357
24,NA,"N",74.888,37.094,"S","Class1",22,60.143
35,17.117,"W",40.645,46.463,"T","Class1",42,56.651
NA,66.982,"E",87.77,34.586,"F","Class2",44,42.172
15,17.962,"W",46.357,34.602,"N","Class1",61,60.206
55,21.192,"W",59.481,52.06,"T","Class1",NA,59.137
76,10.442,"T",54.117,26.401,"Q","Class3",50,73.545
35,20.927,"A",70.152,52.239,"T","Class1",86,42.286
69,33.553,"N",6.541,32.732,"L","Class3",76,74.266
8,22.855,"E",50.32,37.29,"T","Class1",26,44.67
49,77.535,"Y",92.594,34.31,"F","Class2",39,37.188
NA,37.05,"N",23.735,27.797,"H","Class3",75,71.59
73,27.533,"O",54.224,25.338,"Q","Class3",52,68.395
24,21.857,"E",66.134,31.897,"T","Class1",89,48.06
NA,82.671,"E",NA,33.274,"F","Class2",50,39.675
36,80.912,"N",87.716,NA,"H","Class2",46,36.375
70,11.482,"A",41.071,23.349,"C","Class3",66,69.537
34,82.243,"T",91.81,33.961,"C","Class2",51,38.466
23,14.738,"N",60.094,33.81,"W","Class1",73,64.398
48,21.32,"W",53.814,23.636,"W","Class1",80,42.172
70,41.399,"N",9.088,23.993,"C","Class3",55,66.403
43,76.065,"Z",95.362,34.05,"F","Class2",42,37.937
36,76.303,"T",NA,33.282,"F","Class2",42,39.314
72,15.699,"N",10.912,21.681,"H","Class3",54,76.621
76,19.143,"N",34.384,33.158,"T","Class3",74,69.918
45,15.024,"A",32.808,30.223,"N","Class1",36,74.968
37,81.195,"Y",91.447,33.543,"S","Class2",49,32.92
2,23.088,"C",39.066,16.251,"Z","Class1",45,48.932
0,21.704,"C",51.818,37.68,"W","Class1",87,44.502
32,81.738,"Y",97.953,33.662,"C","Class2",32,34.906
34,24.869,"A",59.852,41.14,"S","Class1",NA,79.925
67,22.129,"O",16.748,25.041,"H","Class3",49,64.651
72,51.075,"G",44.589,27.195,"L","Class3",59,74.091
76,33.213,"A",24.938,25.894,"Q","Class3",68,67.205
